gemini_query,gemini_positive matches,gemini_positive matches count,gemini_llm only matches,gemini_llm only matches count,gemini_gt only matches,gemini_gt only matches count,gemini_correct column inferences,gemini_correct column inferences count,gemini_incorrect column inferences,gemini_incorrect column inferences count,gemini_correct column keyword match,gemini_correct column keyword match count,gemini_incorrect column keyword match,gemini_incorrect column keyword match count,gemini_correct data value classifications,gemini_correct data value classifications count,gemini_incorrect data value classifications,gemini_incorrect data value classifications count
"in terms of the readings, group the similar timestamps for the sants","['station', 'generated']",2,"['o3 value', 'no2 value', 'pm10 value']",3,[],0,['generated'],1,[],0,[],0,[],0,[],0,['station'],1
"for o3, what is the distribution value",['o3 value'],1,['station'],1,[],0,[],0,['o3 value'],1,[],0,[],0,[],0,[],0
"in the whole table, show me the best record of pm10",['pm10 value'],1,"['pm10 quality', 'station']",2,[],0,[],0,"['pm10 value', 'pm10 value']",2,[],0,[],0,[],0,[],0
"based on their pollution, group the locations together that are similar",['station'],1,"['no2 quality', 'no2 value', 'pm10 quality', 'pm10 value', 'o3 quality', 'o3 value']",6,"['longitude', 'latitude']",2,[],0,[],0,[],0,[],0,['station'],1,[],0
please look at the o3 data and find the minimum number,['o3 value'],1,[],0,[],0,[],0,['o3 value'],1,[],0,[],0,[],0,[],0
in what manner are good air quality records dispersed throughout the monitored region,[],0,"['station', 'o3 quality', 'no2 quality', 'pm10 quality']",4,"['air quality', 'generated']",2,[],0,['generated'],1,[],0,['air quality'],1,[],0,[],0
are there any outliers in pm10 readings from a temporal perspective,['pm10 value'],1,"['station', 'generated']",2,['generated time'],1,[],0,[],0,['pm10 value'],1,[],0,[],0,[],0
work out the quality of o3,['o3 quality'],1,[],0,[],0,[],0,[],0,['o3 quality'],1,[],0,[],0,[],0
put the readings in order according to their pm 10 values,['pm10 value'],1,[],0,[],0,[],0,[],0,[],0,['pm10 value'],1,[],0,[],0
is distribution for pm10 value anything other than normal,['pm10 value'],1,[],0,[],0,[],0,[],0,[],0,['pm10 value'],1,[],0,[],0
show me a day with extremely bad air quality,[],0,"['no2 value', 'pm10 value', 'no2 quality', 'pm10 quality', 'o3 quality']",5,"['air quality', 'generated']",2,[],0,[],0,[],0,['air quality'],1,[],0,[],0
what days had really bad air quality,[],0,"['no2 quality', 'no2 value', 'pm10 quality', 'pm10 value', 'o3 quality', 'o3 value']",6,"['air quality', 'generated', 'station']",3,[],0,"['generated', 'station']",2,[],0,['air quality'],1,[],0,[],0
give me the count of missing readings in this table,[],0,"['o3 value', 'no2 value', 'pm10 value']",3,[],0,[],0,[],0,[],0,[],0,[],0,[],0
"show me the data attribute that has the most na values, for example the hardest data points to collect",[],0,"['o3 value', 'no2 value', 'pm10 value']",3,[],0,[],0,[],0,[],0,[],0,[],0,[],0
describe the change in air quality over one day describe the change in each air pollutant,"['o3 value', 'no2 value', 'pm10 value']",3,['hour'],1,"['air quality', 'generated', 'stations']",3,"['o3 value', 'no2 value', 'pm10 value']",3,"['generated', 'stations']",2,[],0,['air quality'],1,[],0,[],0
could you search all available values for pm10 quality,['pm10 quality'],1,[],0,[],0,[],0,[],0,['pm10 quality'],1,[],0,[],0,[],0
are the o3 value and the pm10 value dependent on each other,"['o3 value', 'pm10 value']",2,[],0,[],0,[],0,[],0,"['o3 value', 'pm10 value']",2,[],0,[],0,[],0
"across the monitored region, what is the distribution of records for good air quality",['air quality'],1,['station'],1,"['generated', 'stations']",2,[],0,"['generated', 'stations']",2,['air quality'],1,[],0,[],0,[],0
what months are hurricanes most common,['month'],1,['category'],1,[],0,[],0,[],0,['month'],1,[],0,[],0,[],0
where are storms most common depending on the time of year,[],0,"['month', 'name']",2,"['year', 'lat', 'long']",3,[],0,"['lat', 'long']",2,[],0,['year'],1,[],0,[],0
are there more storms in recent years,['year'],1,[],0,['name'],1,[],0,['name'],1,['year'],1,[],0,[],0,[],0
what does the distribution of the storms look like,[],0,[],0,"['name', 'status']",2,[],0,"['name', 'status']",2,[],0,[],0,[],0,[],0
what is the most frequent status over the year,['status'],1,[],0,['year'],1,[],0,['status'],1,[],0,['year'],1,[],0,[],0
"what is the main factor depending on different status (wind, time, pressure, or etc)","['status', 'wind', 'pressure', 'ts_diameter', 'hu_diameter']",5,[],0,"['year', 'month', 'day']",3,[],0,"['hu_diameter', 'year', 'month', 'day', 'ts_diameter']",5,"['status', 'wind', 'pressure']",3,[],0,[],0,[],0
what was the name of the earliest storm,['name'],1,['year'],1,[],0,[],0,[],0,['name'],1,[],0,[],0,[],0
how many hurricanes,[],0,"['name', 'category']",2,['status'],1,[],0,[],0,[],0,[],0,[],0,['status'],1
what is the name of the largest storm,['name'],1,['wind'],1,['ts_diameter'],1,[],0,['ts_diameter'],1,[],0,['name'],1,[],0,[],0
what storm produced the greatest air pressure,"['name', 'pressure']",2,[],0,[],0,['name'],1,[],0,['pressure'],1,[],0,[],0,[],0
how many storms are named caroline,['name'],1,[],0,[],0,[],0,[],0,['name'],1,[],0,[],0,[],0
what storm produced the least air pressure,"['name', 'pressure']",2,[],0,[],0,['name'],1,[],0,['pressure'],1,[],0,[],0,[],0
what storm had the greatest diameter of tropical storm strength winds,"['ts_diameter', 'wind']",2,['name'],1,['status'],1,[],0,['ts_diameter'],1,[],0,['wind'],1,[],0,['status'],1
what storm had the greatest diameter of hurricane strength winds,[],0,"['name', 'ts_diameter', 'category']",3,"['wind', 'hu_diameter', 'status']",3,[],0,['hu_diameter'],1,[],0,['wind'],1,[],0,['status'],1
"how many storms occur per year, on average",['year'],1,[],0,[],0,[],0,[],0,[],0,['year'],1,[],0,[],0
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year","['year', 'day', 'month']",3,['name'],1,['status'],1,"['day', 'month']",2,[],0,[],0,['year'],1,[],0,['status'],1
is there a correlation between wind speed and air pressure,"['wind', 'pressure']",2,[],0,[],0,[],0,[],0,"['wind', 'pressure']",2,[],0,[],0,[],0
is there a correlation between the duration of the storm and wind speed,['wind'],1,['ts_diameter'],1,[],0,[],0,[],0,['wind'],1,[],0,[],0,[],0
where have all hurricanes been recorded on the globe where are they more common,"['lat', 'long', 'status']",3,[],0,[],0,"['lat', 'long']",2,[],0,[],0,[],0,[],0,['status'],1
what lat/long locations are most likely to experience hurricanes,"['lat', 'long']",2,['category'],1,['status'],1,[],0,[],0,"['lat', 'long']",2,[],0,[],0,['status'],1
what are lengths/timings of hurricane seasons in different regions of the world,"['month', 'year']",2,[],0,"['lat', 'long', 'day']",3,['year'],1,"['lat', 'long', 'month', 'day']",4,[],0,[],0,[],0,[],0
what is the average storm length,"['name', 'day']",2,[],0,"['year', 'month', 'hour']",3,"['name', 'day']",2,"['year', 'month', 'hour']",3,[],0,[],0,[],0,[],0
what is the average time that it takes to go from depression to storm,"['status', 'year', 'month', 'day', 'hour']",5,[],0,[],0,"['status', 'year', 'month', 'day', 'hour']",5,[],0,[],0,[],0,[],0,[],0
"what is the relationship, if any, between wind and pressure","['wind', 'pressure']",2,[],0,[],0,[],0,[],0,"['wind', 'pressure']",2,[],0,[],0,[],0
how does wind change over the course of each hurricane,['wind'],1,['name'],1,['status'],1,[],0,[],0,['wind'],1,[],0,[],0,['status'],1
average tropical storm diameter,['ts_diameter'],1,[],0,['status'],1,[],0,['ts_diameter'],1,[],0,[],0,[],0,['status'],1
what is the relationship between storm day and hu_diameter,"['day', 'hu_diameter']",2,[],0,[],0,[],0,[],0,[],0,"['day', 'hu_diameter']",2,[],0,[],0
are there any repeat names of storms,['name'],1,[],0,['year'],1,[],0,['year'],1,['name'],1,[],0,[],0,[],0
