gemini_query,gemini_positive matches,gemini_llm only matches,gemini_gt only matches,gemini_correct task inferences,gemini_missed task inferences,gemini_correct goal classifications,gemini_missing goal classifications,gemini_positive matches count,gemini_llm only matches count,gemini_gt only matches count,gemini_correct task inferences count,gemini_missed task inferences count
"in terms of the readings, group the similar timestamps for the sants",[],"['relationship', 'group']","['similarity', 'filter']",[],[],False,False,0,2,2,0,0
"for o3, what is the distribution value",[],['find extremum'],['characterize distribution'],[],[],True,False,0,1,1,0,0
"in the whole table, show me the best record of pm10",[],['find extreme'],['retrieve value'],[],[],True,False,0,1,1,0,0
"based on their pollution, group the locations together that are similar",['cluster'],[],[],[],[],False,False,1,0,0,0,0
please look at the o3 data and find the minimum number,['find extremum'],[],[],[],[],True,False,1,0,0,0,0
in what manner are good air quality records dispersed throughout the monitored region,[],['relationship'],"['distribution', 'filter']",[],[],False,False,0,1,2,0,0
are there any outliers in pm10 readings from a temporal perspective,[],['find extremum'],['find anomalies'],[],[],True,False,0,1,1,0,0
work out the quality of o3,['retrieve value'],[],[],['retrieve value'],['retrieve value'],False,False,1,0,0,1,1
put the readings in order according to their pm 10 values,['sort'],[],[],[],[],False,False,1,0,0,0,0
is distribution for pm10 value anything other than normal,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
show me a day with extremely bad air quality,[],['find extreme'],['filter'],[],[],False,False,0,1,1,0,0
what days had really bad air quality,[],['find extreme'],['filter'],[],[],True,False,0,1,1,0,0
give me the count of missing readings in this table,[],['count'],['retrieve value'],[],[],True,False,0,1,1,0,0
"show me the data attribute that has the most na values, for example the hardest data points to collect",[],['find extreme'],['filter'],[],[],False,False,0,1,1,0,0
describe the change in air quality over one day describe the change in each air pollutant,['trend'],[],[],['trend'],['trend'],False,False,1,0,0,1,1
could you search all available values for pm10 quality,['retrieve value'],[],[],['retrieve value'],['retrieve value'],False,False,1,0,0,1,1
are the o3 value and the pm10 value dependent on each other,[],['correlation'],['dependency'],[],[],False,False,0,1,1,0,0
"across the monitored region, what is the distribution of records for good air quality",['distribution'],[],"['summarize', 'filter']",[],[],False,False,1,0,2,0,0
what months are hurricanes most common,['find extremum'],[],[],[],[],True,False,1,0,0,0,0
where are storms most common depending on the time of year,[],"['retrieve value', 'relationship']",['compare'],[],[],False,False,0,2,1,0,0
are there more storms in recent years,[],"['find pattern', 'compare']",['characterize distribution'],[],[],False,False,0,2,1,0,0
what does the distribution of the storms look like,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the most frequent status over the year,['find extremum'],[],[],['find extremum'],['find extremum'],False,False,1,0,0,1,1
"what is the main factor depending on different status (wind, time, pressure, or etc)",[],['correlation'],['dependency'],[],[],True,False,0,1,1,0,0
what was the name of the earliest storm,['retrieve value'],[],[],[],[],False,False,1,0,0,0,0
how many hurricanes,[],['count'],"['compute derived value', 'filter']",[],[],False,False,0,1,2,0,0
what is the name of the largest storm,[],"['retrieve value', 'find extreme']",['find extremum'],[],[],False,False,0,2,1,0,0
what storm produced the greatest air pressure,[],"['retrieve value', 'find extreme']",['find extremum'],[],[],False,False,0,2,1,0,0
how many storms are named caroline,['retrieve value'],[],[],['retrieve value'],['retrieve value'],False,False,1,0,0,1,1
what storm produced the least air pressure,[],"['retrieve value', 'find extreme']",['find extremum'],[],[],False,False,0,2,1,0,0
what storm had the greatest diameter of tropical storm strength winds,['find extremum'],['retrieve value'],['filter'],['find extremum'],['find extremum'],False,False,1,1,1,1,1
what storm had the greatest diameter of hurricane strength winds,['find extremum'],[],['filter'],['find extremum'],['find extremum'],False,False,1,0,1,1,1
"how many storms occur per year, on average",[],['retrieve value'],['compute derived value'],[],[],False,False,0,1,1,0,0
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",[],['find extreme'],"['compute derived value', 'filter']",[],[],True,False,0,1,2,0,0
