gpt_query,gpt_positive matches,gpt_llm only matches,gpt_gt only matches,gpt_correct task inferences,gpt_missed task inferences,gpt_correct goal classifications,gpt_missing goal classifications,gpt_positive matches count,gpt_llm only matches count,gpt_gt only matches count,gpt_correct task inferences count,gpt_missed task inferences count
"in terms of the readings, group the similar timestamps for the sants",[],['group'],"['similarity', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
"for o3, what is the distribution value",[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
"in the whole table, show me the best record of pm10",['retrieve value'],['find extremum'],[],['retrieve value'],['retrieve value'],FALSE,FALSE,1,1,0,1,1
"based on their pollution, group the locations together that are similar",[],['grouping'],['cluster'],[],[],FALSE,FALSE,0,1,1,0,0
please look at the o3 data and find the minimum number,['find extremum'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
in what manner are good air quality records dispersed throughout the monitored region,['distribution'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
are there any outliers in pm10 readings from a temporal perspective,[],['identify outliers'],['find anomalies'],[],[],FALSE,FALSE,0,1,1,0,0
work out the quality of o3,['retrieve value'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
put the readings in order according to their pm 10 values,['sort'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
is distribution for pm10 value anything other than normal,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
show me a day with extremely bad air quality,[],['find extremum'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
what days had really bad air quality,['filter'],[],[],['filter'],['filter'],FALSE,FALSE,1,0,0,1,1
give me the count of missing readings in this table,[],['count'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
"show me the data attribute that has the most na values, for example the hardest data points to collect",[],['identify'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
describe the change in air quality over one day describe the change in each air pollutant,['trend'],['comparison'],[],[],[],FALSE,FALSE,1,1,0,0,0
could you search all available values for pm10 quality,['retrieve value'],[],[],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,0,1,1
are the o3 value and the pm10 value dependent on each other,[],['correlation'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
"across the monitored region, what is the distribution of records for good air quality",['distribution'],[],"['summarize', 'filter']",[],[],FALSE,FALSE,1,0,2,0,0
what months are hurricanes most common,[],['distribution'],['find extremum'],[],[],FALSE,FALSE,0,1,1,0,0
where are storms most common depending on the time of year,[],['distribution'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
are there more storms in recent years,[],['comparison'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what does the distribution of the storms look like,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
what is the most frequent status over the year,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
"what is the main factor depending on different status (wind, time, pressure, or etc)",[],['correlation'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
what was the name of the earliest storm,['retrieve value'],[],[],['retrieve value'],['retrieve value'],FALSE,FALSE,1,0,0,1,1
how many hurricanes,[],['count'],"['compute derived value', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
what is the name of the largest storm,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
what storm produced the greatest air pressure,['find extremum'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
how many storms are named caroline,[],['count'],['retrieve value'],[],[],FALSE,FALSE,0,1,1,0,0
what storm produced the least air pressure,['find extremum'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
what storm had the greatest diameter of tropical storm strength winds,['find extremum'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
what storm had the greatest diameter of hurricane strength winds,['find extremum'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
"how many storms occur per year, on average",[],"['aggregate', 'average']",['compute derived value'],[],[],FALSE,FALSE,0,2,1,0,0
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",[],['aggregate'],"['compute derived value', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
is there a correlation between wind speed and air pressure,[],['correlation'],['correlate'],[],[],TRUE,FALSE,0,1,1,0,0
is there a correlation between the duration of the storm and wind speed,[],['correlation'],['correlate'],[],[],TRUE,FALSE,0,1,1,0,0
where have all hurricanes been recorded on the globe where are they more common,[],"['distribution', 'comparison']","['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,2,2,0,0
what lat/long locations are most likely to experience hurricanes,[],['distribution'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
what are lengths/timings of hurricane seasons in different regions of the world,[],['distribution'],"['compute derived value', 'compare']",[],[],TRUE,FALSE,0,1,2,0,0
what is the average storm length,[],['average calculation'],['compute derived value'],[],[],FALSE,FALSE,0,1,1,0,0
what is the average time that it takes to go from depression to storm,[],['calculate average'],['compute derived value'],[],[],FALSE,FALSE,0,1,1,0,0
"what is the relationship, if any, between wind and pressure",[],['relationship'],['correlation'],[],[],FALSE,FALSE,0,1,1,0,0
how does wind change over the course of each hurricane,['trend'],[],['filter'],['trend'],['trend'],FALSE,FALSE,1,0,1,1,1
average tropical storm diameter,[],['average'],"['compute derived value', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
what is the relationship between storm day and hu_diameter,[],['relationship'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
are there any repeat names of storms,[],['identify duplicates'],['summarize'],[],[],FALSE,FALSE,0,1,1,0,0
what month has the strongest hurricanes,['find extremum'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
how has wind speed changed over time,['trend'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
what is the maximum pressure of a certain hurricane,['find extremum'],[],"['summarize', 'filter']",[],[],FALSE,FALSE,1,0,2,0,0
relationship between position and the strength of the hurricane,[],['relationship'],"['dependency', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
average time for each hurricane status,[],['average'],"['compute derived value', 'compare']",[],[],FALSE,FALSE,0,1,2,0,0
which hurricane lasted the longest,[],['find extremum'],"['compare', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
can you tell me the sales distribution of type 4046 in 2015,['distribution'],[],['filter'],[],[],TRUE,FALSE,1,0,1,0,0
what are the groups of regions according to three types of avocados sales ratio,[],['grouping'],['cluster'],[],[],TRUE,FALSE,0,1,1,0,0
"using the three types of avocado's sales ratio, provide the groups of regions",[],"['ratio calculation', 'grouping']",['cluster'],[],[],TRUE,FALSE,0,2,1,0,0
provide the distribution of the sales in 2015 of type 4046,['distribution'],[],['filter'],[],[],TRUE,FALSE,1,0,1,0,0
the oldest user was born in what year,[],['retrieve value'],['find extremum'],[],[],FALSE,FALSE,0,1,1,0,0
indicate all the travels taking more than 1000 minutes,[],['filter'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
"show me a list of the tripe that take longer than 1,000 minutes",[],['filter'],['retrieve value'],[],[],FALSE,FALSE,0,1,1,0,0
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
show me the relationship between age and travel time,[],['relationship'],['correlation'],[],[],TRUE,FALSE,0,1,1,0,0
do you know of any trip that would take longer than 1000 minutes,[],['filter'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
show me a list of neighborhoods with the number of male births from least to most,[],['sort'],['retrieve value'],[],[],FALSE,FALSE,0,1,1,0,0
show me the distribution of births across all districts in 2017,['distribution'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
let me know if there are groups of neighborhoods with similar birth gender ratios,[],['clustering'],"['compares', 'culstering']",[],[],FALSE,FALSE,0,1,2,0,0
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,['retrieve value'],['filter'],[],['retrieve value'],['retrieve value'],FALSE,FALSE,1,1,0,1,1
which neighborhood in ciutat vella has more than 100 females born in the year 2013,[],['filter'],['retrieve value'],[],[],FALSE,FALSE,0,1,1,0,0
"barcelona's districts, please list each",['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,1,1,1
what is the distribution of all births in all districts between 2013 and 2017,['distribution'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
what neighborhood had 56 boys born in 2017,['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,1,1,1
is there a correlation between acceleration and horsepower,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
how many heavy cars are in the dataset,[],['count'],['compute derived value'],[],[],TRUE,FALSE,0,1,1,0,0
are there any american 5 cylinder cars,[],['existence'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
how does displacement relate to fuel economy for cars from europe v usa,[],['relationship'],"['dependency', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
which cylinder cars have the highest fuel economy,[],['find extremum'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
which countries have the most cars in this dataset,[],['count'],"['compare', 'find extremum']",[],[],FALSE,FALSE,0,1,2,0,0
which countries have the highest acceleration for cars of different cylinders,[],"['find extremum', 'grouping']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
how do the horsepowers of the cars from different regions change with years,['trend'],['comparison'],[],['trend'],['trend'],FALSE,FALSE,1,1,0,1,1
the distribution of the number of cylinders of cars based on different origins,['distribution'],[],['compare'],[],[],FALSE,FALSE,1,0,1,0,0
what is the correlation between displacement and mpg of cars with different origins,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
count the number of cars based on their origins,[],['count'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
