llama_query,llama_positive matches,llama_llm only matches,llama_gt only matches,llama_correct task inferences,llama_missed task inferences,llama_correct goal classifications,llama_missing goal classifications,llama_positive matches count,llama_llm only matches count,llama_gt only matches count,llama_correct task inferences count,llama_missed task inferences count
"in terms of the readings, group the similar timestamps for the sants",[],"['aggregation', 'grouping']","['similarity', 'filter']",[],[],False,False,0,2,2,0,0
"for o3, what is the distribution value",[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
"in the whole table, show me the best record of pm10",[],['find extremum'],['retrieve value'],[],[],True,False,0,1,1,0,0
"based on their pollution, group the locations together that are similar",[],['clustering'],['cluster'],[],[],False,False,0,1,1,0,0
please look at the o3 data and find the minimum number,['find extremum'],[],[],[],[],True,False,1,0,0,0,0
in what manner are good air quality records dispersed throughout the monitored region,[],['relationship'],"['distribution', 'filter']",[],[],False,False,0,1,2,0,0
are there any outliers in pm10 readings from a temporal perspective,[],['outlier detection'],['find anomalies'],[],[],True,False,0,1,1,0,0
work out the quality of o3,[],['distribution'],['retrieve value'],[],[],False,False,0,1,1,0,0
put the readings in order according to their pm 10 values,['sort'],[],[],[],[],True,False,1,0,0,0,0
is distribution for pm10 value anything other than normal,[],['distribution check'],['characterize distribution'],[],[],False,False,0,1,1,0,0
show me a day with extremely bad air quality,[],['find extremum'],['filter'],[],[],False,False,0,1,1,0,0
what days had really bad air quality,['filter'],[],[],['filter'],['filter'],False,False,1,0,0,1,1
give me the count of missing readings in this table,['retrieve value'],['count'],[],[],[],True,False,1,1,0,0,0
"show me the data attribute that has the most na values, for example the hardest data points to collect",[],['find pattern'],['filter'],[],[],False,False,0,1,1,0,0
describe the change in air quality over one day describe the change in each air pollutant,['trend'],"['relationship', 'correlation']",[],['trend'],['trend'],False,False,1,2,0,1,1
could you search all available values for pm10 quality,['retrieve value'],[],[],[],[],True,False,1,0,0,0,0
are the o3 value and the pm10 value dependent on each other,[],['correlation'],['dependency'],[],[],False,False,0,1,1,0,0
"across the monitored region, what is the distribution of records for good air quality",['distribution'],[],"['summarize', 'filter']",[],[],False,False,1,0,2,0,0
what months are hurricanes most common,[],['distribution'],['find extremum'],[],[],True,False,0,1,1,0,0
where are storms most common depending on the time of year,[],['relationship'],['compare'],[],[],False,False,0,1,1,0,0
are there more storms in recent years,[],"['correlation', 'trend']",['characterize distribution'],[],[],False,False,0,2,1,0,0
what does the distribution of the storms look like,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the most frequent status over the year,[],['frequency distribution'],['find extremum'],[],[],False,False,0,1,1,0,0
