gemini_query,gemini_positive matches,gemini_llm only matches,gemini_gt only matches,gemini_correct task inferences,gemini_missed task inferences,gemini_positive matches count,gemini_llm only matches count,gemini_gt only matches count,gemini_correct task inferences count,gemini_missed task inferences count
"in terms of the readings, group the similar timestamps for the sants",[],{'cluster'},"['similarity', ' filter']",[],[],0,2,2,0,0
"for o3, what is the distribution value",['characterize distribution'],set(),[],[],[],1,0,0,0,0
"in the whole table, show me the best record of pm10",['retrieve value'],{'find extremum'},['retrieve value'],[],[],1,1,1,0,0
"based on their pollution, group the locations together that are similar",['Cluster'],set(),[],[],[],1,0,0,0,0
please look at the o3 data and find the minimum number,['find extremum'],set(),[],[],[],1,0,0,0,0
in what manner are good air quality records dispersed throughout the monitored region,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
are there any outliers in pm10 readings from a temporal perspective,['find anomalies'],set(),[],[],[],1,0,0,0,0
work out the quality of o3,[],{'characterize distribution'},['retrieve value'],[],[],0,1,1,0,0
put the readings in order according to their pm 10 values,['sort'],set(),[],[],[],1,0,0,0,0
is distribution for pm10 value anything other than normal,['characterize distribution'],set(),[],[],[],1,0,0,0,0
show me a day with extremely bad air quality,[],{'find extremum'},['filter'],[],[],0,1,1,0,0
what days had really bad air quality,[],{'find extremum'},['filter'],[],[],0,1,1,0,0
give me the count of missing readings in this table,[],{'count'},['retrieve value'],[],[],0,1,1,0,0
"show me the data attribute that has the most na values, for example the hardest data points to collect",[],{'find extremum'},['filter'],[],[],0,1,1,0,0
describe the change in air quality over one day describe the change in each air pollutant,['trend'],{'compare'},['trend'],['trend'],['trend'],1,1,1,1,1
could you search all available values for pm10 quality,['retrieve value'],set(),[],[],[],1,0,0,0,0
are the o3 value and the pm10 value dependent on each other,[],{'dependency'},['Dependency'],[],[],0,1,1,0,0
"across the monitored region, what is the distribution of records for good air quality",[],{'characterize distribution'},"['distribution', ' summarize', ' filter']",[],[],0,3,3,0,0
