llama_query,llama_positive matches,llama_llm only matches,llama_gt only matches,llama_correct task inferences,llama_missed task inferences,llama_positive matches count,llama_llm only matches count,llama_gt only matches count,llama_correct task inferences count,llama_missed task inferences count
"in terms of the readings, group the similar timestamps for the sants",[],"{'Retrieve Value', 'Cluster'}","['similarity', ' filter', 'similarity', ' filter']",[],[],0,4,4,0,0
"for o3, what is the distribution value",['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
"in the whole table, show me the best record of pm10",[],{'Find Extremum'},['retrieve value'],[],[],0,1,1,0,0
"based on their pollution, group the locations together that are similar",['Cluster'],{'Similarity'},['cluster'],[],[],1,1,1,0,0
please look at the o3 data and find the minimum number,[],"{'Retrieve Value', 'Find Minimum'}","['find extremum', 'find extremum']",[],[],0,2,2,0,0
in what manner are good air quality records dispersed throughout the monitored region,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
are there any outliers in pm10 readings from a temporal perspective,['Find Anomalies'],set(),[],[],[],1,0,0,0,0
work out the quality of o3,[],{'Characterize Distribution'},['retrieve value'],[],[],0,1,1,0,0
put the readings in order according to their pm 10 values,['Sort'],set(),[],[],[],1,0,0,0,0
is distribution for pm10 value anything other than normal,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
show me a day with extremely bad air quality,[],{'Find Anomalies'},['filter'],[],[],0,1,1,0,0
what days had really bad air quality,[],{'Find Anomalies'},['filter'],[],[],0,1,1,0,0
give me the count of missing readings in this table,[],"{'Compute Derived Value', 'Find Anomalies'}","['retrieve value', 'retrieve value']",[],[],0,2,2,0,0
"show me the data attribute that has the most na values, for example the hardest data points to collect",[],{'find pattern'},['filter'],[],[],0,1,1,0,0
describe the change in air quality over one day describe the change in each air pollutant,['Trend'],{'Characterize Distribution'},['trend'],['trend'],['trend'],1,1,1,1,1
could you search all available values for pm10 quality,['Retrieve Value'],set(),[],[],[],1,0,0,0,0
are the o3 value and the pm10 value dependent on each other,[],{'correlate'},['Dependency'],[],[],0,1,1,0,0
"across the monitored region, what is the distribution of records for good air quality",[],{'Characterize Distribution'},"['distribution', ' summarize', ' filter']",[],[],0,3,3,0,0
what months are hurricanes most common,[],{'Characterize Distribution'},['find extremum'],[],[],0,1,1,0,0
where are storms most common depending on the time of year,[],"{'Characterize Distribution', 'Trend'}","['compare', 'compare']",[],[],0,2,2,0,0
are there more storms in recent years,[],{'Trend'},['characterize distribution'],[],[],0,1,1,0,0
what does the distribution of the storms look like,['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
what is the most frequent status over the year,[],{'Characterize Distribution'},['find extremum'],[],[],0,1,1,0,0
"what is the main factor depending on different status (wind, time, pressure, or etc)",[],"{'relationship', 'correlation'}","['dependency', 'dependency']",[],[],0,2,2,0,0
what was the name of the earliest storm,['Retrieve Value'],set(),[],[],[],1,0,0,0,0
how many hurricanes,[],{'summarize'},"['compute derived value', ' filter']",[],[],0,2,2,0,0
what is the name of the largest storm,['Find Extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
what storm produced the greatest air pressure,[],{'Find Minimum'},['find extremum'],[],[],0,1,1,0,0
how many storms are named caroline,['Retrieve Value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
what storm produced the least air pressure,[],{'Find Minimum'},['find extremum'],[],[],0,1,1,0,0
what storm had the greatest diameter of tropical storm strength winds,[],{'Find Maximum'},"['find extremum', ' filter']",[],[],0,2,2,0,0
what storm had the greatest diameter of hurricane strength winds,[],{'Find Maximum'},"['find extremum', ' filter']",[],[],0,2,2,0,0
"how many storms occur per year, on average",['Compute Derived Value'],{'Summarize'},['compute derived value'],[],[],1,1,1,0,0
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",['Compute Derived Value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
is there a correlation between wind speed and air pressure,['correlate'],set(),[],[],[],1,0,0,0,0
is there a correlation between the duration of the storm and wind speed,['correlate'],set(),[],[],[],1,0,0,0,0
where have all hurricanes been recorded on the globe where are they more common,['Characterize Distribution'],"{'Dependency', 'Find Anomalies'}","['characterize distribution', ' filter', 'characterize distribution', ' filter']",['characterize distribution'],['characterize distribution'],1,4,4,1,1
what lat/long locations are most likely to experience hurricanes,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
what are lengths/timings of hurricane seasons in different regions of the world,[],{'Characterize Distribution'},"['compute derived value', ' compare']",[],[],0,2,2,0,0
what is the average storm length,['Compute Derived Value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
what is the average time that it takes to go from depression to storm,['Compute Derived Value'],set(),[],[],[],1,0,0,0,0
"what is the relationship, if any, between wind and pressure",['correlate'],set(),[],[],[],1,0,0,0,0
how does wind change over the course of each hurricane,['Trend'],set(),[],['trend'],['trend'],1,0,0,1,1
