mixtral_query,mixtral_positive matches,mixtral_llm only matches,mixtral_gt only matches,mixtral_correct task inferences,mixtral_missed task inferences,mixtral_positive matches count,mixtral_llm only matches count,mixtral_gt only matches count,mixtral_correct task inferences count,mixtral_missed task inferences count
"in terms of the readings, group the similar timestamps for the sants",[],{'cluster'},"['similarity', ' filter']",[],[],0,2,2,0,0
"for o3, what is the distribution value",['characterize distribution'],set(),[],[],[],1,0,0,0,0
"in the whole table, show me the best record of pm10",['retrieve value'],{'find extremum'},['retrieve value'],['retrieve value'],['retrieve value'],1,1,1,1,1
"based on their pollution, group the locations together that are similar",['cluster'],set(),[],[],[],1,0,0,0,0
please look at the o3 data and find the minimum number,['find extremum'],{'retrieve value'},['find extremum'],[],[],1,1,1,0,0
in what manner are good air quality records dispersed throughout the monitored region,[],{'characterize distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
are there any outliers in pm10 readings from a temporal perspective,[],"{'determine range', 'characterize distribution'}","['find anomalies', 'find anomalies']",[],[],0,2,2,0,0
work out the quality of o3,[],{'determine range'},['retrieve value'],[],[],0,1,1,0,0
put the readings in order according to their pm 10 values,['sort'],set(),[],[],[],1,0,0,0,0
is distribution for pm10 value anything other than normal,['characterize distribution'],set(),[],[],[],1,0,0,0,0
show me a day with extremely bad air quality,[],"{'determine range', 'characterize distribution'}","['filter', 'filter']",[],[],0,2,2,0,0
what days had really bad air quality,[],{'determine range'},['filter'],[],[],0,1,1,0,0
give me the count of missing readings in this table,[],"{'filter', 'count'}","['retrieve value', 'retrieve value']",[],[],0,2,2,0,0
"show me the data attribute that has the most na values, for example the hardest data points to collect",[],set(),[],[],[],0,0,0,0,0
describe the change in air quality over one day describe the change in each air pollutant,[],"{'determine range', 'compare', 'characterize distribution'}","['trend', 'trend', 'trend']",[],[],0,3,3,0,0
could you search all available values for pm10 quality,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
