Country,Year,Undergraduate,Postgraduate,Total,Undergraduate Income,Postgraduate Income,Undergraduate M-F,Postgraduate M-F
Switzerland,Jan-00,357020,125890,482910,,,,
Iceland,1-Feb,365575,133360,498935,,,,
Denmark,2-Mar,393080,142090,535170,,,,
Norway,3-Apr,412980,157660,570645,,,,
Canada,4-May,440775,164290,605065,,,,
Finland,5-Jun,440410,167065,607475,,,,
Netherlands,6-Jul,447930,167150,615080,,,,
Sweden,7-Aug,474290,202045,676340,,,,
New Zealand,8-Sep,470080,204720,674800,,,,
Australia,9-Oct,490630,226400,717030,,,,
Israel,10-Nov,510895,252255,763150,,,,
Costa Rica,11-Dec,523025,264090,787115,,,,
Austria,2012/13,526150,262205,788355,,,,
Mexico,2013/14,519685,257935,777625,,,,
United States,2014/15,483410,261620,745030,,,,
Brazil,2015/16,480575,262150,742730,,,,
Luxembourg,2016/17,491170,266125,757300,,,,
Ireland,2017/18,492385,284620,777005,,,,
Belgium,,,,,,,,
United Arab Emirates,,,,,,,,
United Kingdom,,,,,,,,
Oman,,,,,,,,
Venezuela,,,,,,,,
Singapore,,,,,,,,
Panama,,,,,,,,
Germany,,,,,,,,
