Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,84,NA,NA,NA,01/11/2018 0:00
Barcelona - Eixample,Moderate,2.1538,41.3853,0h,Good,1,0h,Moderate,113,0h,Good,36,01/11/2018 0:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,10,0h,Good,73,NA,NA,NA,01/11/2018 0:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,2,0h,Good,86,NA,NA,NA,01/11/2018 0:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,7,0h,Good,69,NA,NA,NA,01/11/2018 0:00
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,11,23h,Good,57,23h,Good,23,01/11/2018 0:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,23h,Good,86,23h,Good,32,01/11/2018 0:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,58,23h,Good,3,23h,Good,25,01/11/2018 0:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,62,NA,NA,NA,01/11/2018 1:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,6,0h,Good,80,1h,Good,35,01/11/2018 1:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,21,0h,Good,59,NA,NA,NA,01/11/2018 1:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,4,0h,Good,78,NA,NA,NA,01/11/2018 1:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,29,0h,Good,45,NA,NA,NA,01/11/2018 1:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,27,0h,Good,38,1h,Good,24,01/11/2018 1:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,75,1h,Good,32,01/11/2018 1:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,87,0h,Good,8,1h,Good,25,01/11/2018 1:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,1h,Good,46,NA,NA,NA,01/11/2018 2:00
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,14,1h,Good,64,1h,Good,34,01/11/2018 2:00
Barcelona - Gr_cia,Good,2.1534,41.3987,1h,Good,32,1h,Good,41,NA,NA,NA,01/11/2018 2:00
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,24,1h,Good,56,NA,NA,NA,01/11/2018 2:00
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,47,1h,Good,27,NA,NA,NA,01/11/2018 2:00
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,34,1h,Good,28,2h,Good,24,01/11/2018 2:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,1h,Good,51,2h,Good,32,01/11/2018 2:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,77,1h,Good,11,2h,Good,25,01/11/2018 2:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,1h,Good,46,NA,NA,NA,01/11/2018 3:00
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,32,2h,Good,44,3h,Good,35,01/11/2018 3:00
Barcelona - Gr_cia,Good,2.1534,41.3987,2h,Good,48,2h,Good,27,NA,NA,NA,01/11/2018 3:00
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,45,2h,Good,29,NA,NA,NA,01/11/2018 3:00
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,65,2h,Good,14,NA,NA,NA,01/11/2018 3:00
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,38,2h,Good,19,3h,Good,24,01/11/2018 3:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,2h,Good,34,3h,Good,31,01/11/2018 3:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,83,2h,Good,6,2h,Good,24,01/11/2018 3:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,2h,--,NA,NA,NA,NA,01/11/2018 4:00
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,43,3h,Good,34,4h,Good,34,01/11/2018 4:00
Barcelona - Gr_cia,Good,2.1534,41.3987,3h,Good,58,3h,Good,18,NA,NA,NA,01/11/2018 4:00
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,61,3h,Good,19,NA,NA,NA,01/11/2018 4:00
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,70,3h,Good,11,NA,NA,NA,01/11/2018 4:00
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,57,3h,Good,7,4h,Good,23,01/11/2018 4:00
