trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
17536702,######,######,3304,323,69,Damen Ave & Pierce Ave,159,Claremont Ave & Hirsch St,Subscriber,Male,1988
17536703,######,######,5367,377,253,Winthrop Ave & Lawrence Ave,325,Clark St & Winnemac Ave (Temp),Subscriber,Male,1984
17536704,######,######,4599,"2,904.00",98,LaSalle St & Washington St,509,Troy St & North Ave,Subscriber,Male,1989
17536705,######,######,2302,747,125,Rush St & Hubbard St,364,Larrabee St & Oak St,Subscriber,Male,1983
17536706,######,######,3696,183,129,Blue Island Ave & 18th St,205,Paulina St & 18th St,Subscriber,Male,1989
17536707,######,######,6298,266,304,Broadway & Waveland Ave,299,Halsted St & Roscoe St,Subscriber,Female,1994
17536708,######,######,1169,314,164,Franklin St & Lake St,174,Canal St & Madison St,Subscriber,Male,1998
17536709,######,######,6351,794,182,Wells St & Elm St,142,McClurg Ct & Erie St,Subscriber,Male,1990
17536710,######,######,1920,"1,481.00",99,Lake Shore Dr & Ohio St,99,Lake Shore Dr & Ohio St,Customer,,
17536711,######,######,4783,,99,Lake Shore Dr & Ohio St,99,Lake Shore Dr & Ohio St,Customer,,
17536712,######,######,3881,"1,361.00",99,Lake Shore Dr & Ohio St,99,Lake Shore Dr & Ohio St,Customer,,
17536713,######,######,3838,212,13,Wilton Ave & Diversey Pkwy,220,Clark St & Drummond Pl,Subscriber,Male,1992
17536714,######,######,6160,448,296,Broadway & Belmont Ave,304,Broadway & Waveland Ave,Subscriber,Female,1985
17536715,######,######,6330,346,85,Michigan Ave & Oak St,106,State St & Pearson St,Subscriber,Female,1993
17536718,######,######,6099,677,462,Winchester (Ravenswood) Ave & Balmoral Ave,238,Wolcott (Ravenswood) Ave & Montrose Ave (*),Subscriber,Male,1979
17536719,######,######,966,219,118,Sedgwick St & North Ave,291,Wells St & Evergreen Ave,Subscriber,Male,1993
17536720,######,######,520,320,165,Clark St & Grace St,256,Broadway & Sheridan Rd,Subscriber,Male,1994
17536721,######,######,6050,498,198,Green St & Madison St,89,Financial Pl & Congress Pkwy (Temp),Subscriber,Male,1981
17536722,######,######,586,272,69,Damen Ave & Pierce Ave,213,Leavitt St & North Ave,Subscriber,Female,1986
17536724,######,######,5765,172,69,Damen Ave & Pierce Ave,213,Leavitt St & North Ave,Subscriber,Male,1985
17536725,######,######,3439,244,117,Wilton Ave & Belmont Ave,156,Clark St & Wellington Ave,Subscriber,Male,1992
17536727,######,######,3883,351,76,Lake Shore Dr & Monroe St,49,Dearborn St & Monroe St,Subscriber,Male,1983
17536731,######,######,5354,735,118,Sedgwick St & North Ave,16,Paulina Ave & North Ave,Subscriber,Male,1988
17536732,######,######,6267,906,232,Pine Grove Ave & Waveland Ave,325,Clark St & Winnemac Ave (Temp),Subscriber,Male,1990
17536733,######,######,2342,263,110,Dearborn St & Erie St,142,McClurg Ct & Erie St,Subscriber,Male,1985
17536734,######,######,213,686,331,Halsted St & Clybourn Ave (*),620,Orleans St & Chestnut St (NEXT Apts),Subscriber,Male,1991
17536735,######,######,193,945,447,Glenwood Ave & Morse Ave,467,Western Ave & Lunt Ave,Subscriber,Male,1983
17536736,######,######,5585,188,325,Clark St & Winnemac Ave (Temp),463,Clark St & Berwyn Ave,Subscriber,Male,1984
17536737,######,######,6068,762,193,State St & 29th St,120,Wentworth Ave & Cermak Rd (Temp),Subscriber,Male,1991
17536738,######,######,3944,310,312,Clarendon Ave & Gordon Ter,114,Sheffield Ave & Waveland Ave,Subscriber,Male,1990
17536739,######,######,2036,274,405,Wentworth Ave & 35th St,278,Wallace St & 35th St,Subscriber,Male,1978
17536740,######,######,6128,"1,092.00",626,Delano Ct & Roosevelt Rd,129,Blue Island Ave & 18th St,Subscriber,Male,1982
17536741,######,######,6415,498,276,California Ave & North Ave,69,Damen Ave & Pierce Ave,Subscriber,Male,1991
17536742,######,######,5960,768,260,Kedzie Ave & Milwaukee Ave,509,Troy St & North Ave,Subscriber,Male,1992
17536743,######,######,3120,117,183,Damen Ave & Thomas St (Augusta Blvd),128,Damen Ave & Chicago Ave,Subscriber,Male,1987
17536744,######,######,6264,495,247,Shore Dr & 55th St,418,Ellis Ave & 53rd St,Subscriber,Male,1993
17536745,######,######,540,462,206,Halsted St & Archer Ave,339,Emerald Ave & 31st St,Subscriber,Male,1962
17536746,######,######,3775,717,72,Wabash Ave & 16th St,36,Franklin St & Jackson Blvd,Subscriber,Male,1987
17536747,######,######,4784,261,303,Broadway & Cornelia Ave,296,Broadway & Belmont Ave,Subscriber,Male,1990
17536748,######,######,2645,246,327,Sheffield Ave & Webster Ave,302,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1994
17536749,######,######,5964,195,273,Michigan Ave & 18th St,338,Calumet Ave & 18th St,Subscriber,Male,1960
17536750,######,######,3495,343,172,Rush St & Cedar St,211,St. Clair St & Erie St,Subscriber,Male,1980
17536751,######,######,741,269,13,Wilton Ave & Diversey Pkwy,220,Clark St & Drummond Pl,Subscriber,Male,1959
17536752,######,######,5235,649,364,Larrabee St & Oak St,211,St. Clair St & Erie St,Subscriber,Male,1987
17536753,######,######,6373,545,74,Kingsbury St & Erie St,26,McClurg Ct & Illinois St,Subscriber,Male,1972
17536755,######,######,5179,265,296,Broadway & Belmont Ave,303,Broadway & Cornelia Ave,Subscriber,Male,1990
17536756,######,######,6391,155,38,Clark St & Lake St,194,Wabash Ave & Wacker Pl,Subscriber,Female,1989
17536757,######,######,548,981,113,Bissell St & Armitage Ave,268,Lake Shore Dr & North Blvd,Subscriber,Male,1993
17536758,######,######,1609,451,268,Lake Shore Dr & North Blvd,288,Larrabee St & Armitage Ave,Subscriber,Male,1994
17536759,######,######,2968,945,3,Shedd Aquarium,41,Federal St & Polk St,Subscriber,Male,1994
17536760,######,######,4581,"1,233.00",7,Field Blvd & South Water St,7,Field Blvd & South Water St,Subscriber,Male,1966
