County,State,"July 1,  2002 Population","July 1,  2001 Population","July 1, 2000 Population","April 1, 2000 Population Estimates Base",Census 2000 Population
,Arkansas,"2,710,079","2,694,698","2,678,668","2,673,398","2,673,400"
Arkansas,Arkansas,"20,355","20,576","20,664","20,749","20,749"
Ashley,Arkansas,"23,875","23,913","24,184","24,209","24,209"
Baxter,Arkansas,"38,672","38,417","38,460","38,386","38,386"
Benton,Arkansas,"165,500","159,607","154,836","153,406","153,406"
Boone,Arkansas,"34,713","34,436","34,059","33,948","33,948"
Bradley,Arkansas,"12,531","12,561","12,606","12,600","12,600"
Calhoun,Arkansas,"5,681","5,669","5,736","5,744","5,744"
Carroll,Arkansas,"26,166","25,795","25,425","25,357","25,357"
Chicot,Arkansas,"13,623","13,893","14,089","14,117","14,117"
Clark,Arkansas,"23,535","23,683","23,506","23,546","23,546"
Clay,Arkansas,"17,127","17,367","17,545","17,609","17,609"
Cleburne,Arkansas,"24,570","24,282","24,108","24,046","24,046"
Cleveland,Arkansas,"8,541","8,615","8,555","8,571","8,571"
Columbia,Arkansas,"25,343","25,356","25,576","25,603","25,603"
Conway,Arkansas,"20,411","20,408","20,338","20,336","20,336"
Craighead,Arkansas,"84,074","83,107","82,486","82,148","82,148"
Crawford,Arkansas,"54,973","54,167","53,389","53,247","53,247"
Crittenden,Arkansas,"51,291","51,291","50,997","50,866","50,866"
Cross,Arkansas,"19,343","19,543","19,490","19,526","19,526"
Dallas,Arkansas,"8,785","9,022","9,159","9,210","9,210"
Desha,Arkansas,"14,805","15,072","15,315","15,341","15,341"
Drew,Arkansas,"18,639","18,759","18,703","18,723","18,723"
Faulkner,Arkansas,"89,590","88,385","86,400","86,014","86,014"
Franklin,Arkansas,"17,868","17,867","17,731","17,771","17,771"
Fulton,Arkansas,"11,527","11,571","11,662","11,642","11,642"
Garland,Arkansas,"90,059","89,188","88,394","88,068","88,068"
Grant,Arkansas,"16,848","16,751","16,507","16,464","16,464"
Greene,Arkansas,"38,038","37,782","37,513","37,331","37,331"
Hempstead,Arkansas,"23,492","23,472","23,586","23,587","23,587"
Hot Spring,Arkansas,"30,558","30,476","30,372","30,353","30,353"
Howard,Arkansas,"14,251","14,288","14,267","14,300","14,300"
Independence,Arkansas,"34,431","34,384","34,294","34,233","34,233"
Izard,Arkansas,"13,192","13,245","13,277","13,249","13,249"
Jackson,Arkansas,"17,802","17,903","18,351","18,418","18,418"
Jefferson,Arkansas,"83,374","83,790","84,238","84,278","84,278"
Johnson,Arkansas,"23,148","22,922","22,796","22,781","22,781"
Lafayette,Arkansas,"8,382","8,416","8,544","8,559","8,559"
Lawrence,Arkansas,"17,587","17,711","17,683","17,774","17,774"
Lee,Arkansas,"12,217","12,402","12,532","12,580","12,580"
Lincoln,Arkansas,"14,247","14,484","14,480","14,492","14,492"
Little River,Arkansas,"13,474","13,425","13,626","13,628","13,628"
Logan,Arkansas,"22,394","22,382","22,511","22,486","22,486"
Lonoke,Arkansas,"55,302","54,090","53,164","52,828","52,828"
Madison,Arkansas,"14,345","14,379","14,295","14,243","14,243"
Marion,Arkansas,"16,259","16,316","16,170","16,140","16,140"
Miller,Arkansas,"41,133","40,778","40,450","40,443","40,443"
Mississippi,Arkansas,"50,380","51,189","51,855","51,979","51,979"
Monroe,Arkansas,"9,689","9,936","10,179","10,254","10,254"
Montgomery,Arkansas,"9,243","9,268","9,286","9,245","9,245"
Nevada,Arkansas,"9,742","9,848","9,926","9,955","9,955"
Newton,Arkansas,"8,506","8,496","8,639","8,608","8,608"
Ouachita,Arkansas,"27,868","28,203","28,711","28,790","28,790"
Perry,Arkansas,"10,436","10,318","10,244","10,209","10,209"
Phillips,Arkansas,"25,001","25,740","26,287","26,445","26,445"
Pike,Arkansas,"11,137","11,213","11,326","11,303","11,303"
Poinsett,Arkansas,"25,401","25,577","25,630","25,614","25,614"
Polk,Arkansas,"20,200","20,154","20,277","20,229","20,229"
Pope,Arkansas,"55,223","54,885","54,480","54,469","54,469"
Prairie,Arkansas,"9,440","9,543","9,509","9,539","9,539"
Pulaski,Arkansas,"364,381","362,812","361,743","361,474","361,474"
Randolph,Arkansas,"18,102","18,239","18,177","18,195","18,195"
St. Francis,Arkansas,"28,773","28,912","29,292","29,329","29,329"
Saline,Arkansas,"86,290","85,056","83,933","83,529","83,529"
Scott,Arkansas,"11,004","10,989","11,010","10,996","10,996"
Searcy,Arkansas,"8,039","8,175","8,272","8,261","8,261"
Sebastian,Arkansas,"117,220","116,407","115,551","115,069","115,071"
Sevier,Arkansas,"15,811","15,731","15,752","15,757","15,757"
Sharp,Arkansas,"17,270","17,289","17,180","17,119","17,119"
Stone,Arkansas,"11,518","11,434","11,531","11,499","11,499"
Union,Arkansas,"45,279","45,180","45,568","45,629","45,629"
Van Buren,Arkansas,"16,314","16,366","16,220","16,192","16,192"
Washington,Arkansas,"166,511","163,168","158,720","157,715","157,715"
White,Arkansas,"69,354","68,612","67,417","67,165","67,165"
Woodruff,Arkansas,"8,466","8,702","8,696","8,741","8,741"
Yell,Arkansas,"21,410","21,310","21,188","21,139","21,139"
