year_film,year_award,ceremony,category,nominee,film,win
2002,2003,60,Best Motion Picture - Drama,The Hours,,TRUE
2002,2003,60,Best Motion Picture - Drama,About Schmidt,,FALSE
2002,2003,60,Best Motion Picture - Drama,Gangs of New York,,FALSE
2002,2003,60,Best Motion Picture - Drama,"Lord of the Rings: The Two Towers, The",,FALSE
2002,2003,60,Best Motion Picture - Drama,"Pianist, The",,FALSE
2002,2003,60,Best Motion Picture - Musical or Comedy,Chicago,,TRUE
2002,2003,60,Best Motion Picture - Musical or Comedy,About a Boy,,FALSE
2002,2003,60,Best Motion Picture - Musical or Comedy,Adaptation,,FALSE
2002,2003,60,Best Motion Picture - Musical or Comedy,My Big Fat Greek Wedding,,FALSE
2002,2003,60,Best Motion Picture - Musical or Comedy,Nicholas Nickleby,,FALSE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,The Hours,TRUE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Salma Hayek,Frida,FALSE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Diane Lane,Unfaithful,FALSE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,Far From Heaven,FALSE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The Hours,FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,About Schmidt,TRUE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Catch Me If You Can,FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Adrien Brody,"Pianist, The",FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Michael Caine,"Quiet American, The",FALSE
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Gangs of New York,FALSE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Chicago,TRUE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Gyllenhaal,Secretary,FALSE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,"Banger Sisters, The",FALSE
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nia Vardalos,My Big Fat Greek Wedding,FALSE
