Region,Total HFs,Hospital,Health Centre,Dispensary,Clinic,Population,ration of population over HF
Arusha,315,13,44,252,0,1694310,1.86
Dar Es Salaam,587,46,49,409,57,4364541,1.34
Dodoma,358,9,35,313,1,2083588,1.72
Geita,146,3,19,123,1,1739530,0.84
Iringa,238,7,25,201,3,941238,2.53
Kagera ,294,14,30,247,3,2458023,1.2
Katavi,68,1,12,46,0,564604,1.2
Kigoma,260,7,26,227,0,2127930,1.22
Kilimanjaro,400,19,43,337,1,1640087,2.44
Lindi,210,9,17,184,0,864652,2.43
Manyara,176,7,22,144,3,1425131,1.23
Mara,272,10,39,218,5,1743830,1.56
Mbeya ,437,21,37,366,13,2707410,1.61
Morogoro ,368,13,43,310,2,2218492,1.66
Mtwara,210,5,20,185,0,1270854,1.65
Mwanza,354,16,43,288,7,2772509,1.28
Njombe,234,11,21,202,0,702097,3.33
Pwani,270,7,24,236,3,1098668,2.46
Rukwa,203,3,21,179,0,1004539,2.02
Ruvuma,281,10,29,242,0,1376891,2.04
Shinyanga,191,4,23,164,0,1534808,1.24
Simiyu ,182,3,13,166,0,1584157,1.15
Singida,205,9,18,177,1,1370637,1.5
Tabora,313,7,23,281,2,2291623,1.37
Tanga,371,11,40,316,4,2045205,1.81
