video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,,,,,,,,
5ugKfHgsmYw,18.07.02,闄歌嚜銉樸儶銆佸瀭鐩淬伀钀戒笅锛濊矾涓娿伄杌娿亴鎾奖,鏅備簨閫氫俊鏄犲儚銈汇兂銈裤兗,25,2018-02-06T03:04:37.000Z,"浜嬫晠|""浣愯硛""|""浣愯硛鐪?|""""銉樸儶銈炽儣銈裤兗""""|""""銉樸儶""""|""""鑷闅?""|""""澧滆惤""""|""""钀戒笅""""|""""鐝惧牬""""|""""绁炲熂甯?""|""""銉夈儵銈ゃ儢銉偝銉笺儉銉?""""",188085,591,189,0,https://i.ytimg.com/vi/5ugKfHgsmYw/default.jpg,TRUE,FALSE,FALSE,浣愯硛鐪岀鍩煎競銇皯瀹躲伀澧滆惤銇椼仧闄镐笂鑷闅娿伄锛★绩锛栵紨锛ゆ垿闂樸儤銉偝銉椼偪銉笺亴鍨傜洿銇惤涓嬨仚銈嬫瀛愩倰銆佽繎銇忋伀銇勩仧杌娿伄銉夈儵銈ゃ儢銉偝銉笺儉銉笺亴鎹夈亪銇︺亜銇熴亾銇ㄣ亴锛栨棩鍒嗐亱銇ｃ仧銆俓n銆€鐝惧牬銇崡銇嬨倝鎾奖銇曘倢銇熸槧鍍忋仹銇€佹澅銇嬨倝瑗裤伀椋涜銇欍倠銉樸儶銇岀獊鐒躲€佹棣栥倰涓嬨伀鍚戙亼銇︺亶銈娿倐銇垮洖杌仚銈嬨倛銇嗐伀钀戒笅銆傘儤銉伄鎬ラ檷涓嬨仺鍚屾檪銇€佹浣撱伄涓€閮ㄣ仺銇裤倝銈屻倠鐗╀綋銇岃惤銇°仸銇勩亸妲樺瓙銈傛槧銇ｃ仸銇勩仧銆俓n銆€閷茬敾銇椼仧浣愯硛鍩庡寳鑷嫊杌婂鏍★紙浣愯硛甯傦級銇倛銈嬨仺銆佹挳褰卞牬鎵€銇従鍫淬亱銈夌磩锛戯紟锛曘偔銉儭銉笺儓銉崡銇鍩煎競鍐呫伄璺笂銆傛檪闁撹鏁淬伄銇熴倎鍋滆粖銇椼仸銇勩仧閫佽繋杌娿伄銉夈儵銈ゃ儢銉偝銉笺儉銉笺伀銆佸伓鐒舵槧銈婅炯銈撱仹銇勩仧銇ㄣ亜銇嗐€備綈璩€鍩庡寳鑷嫊杌婂鏍℃彁渚涖€傘€愭檪浜嬮€氫俊鏄犲儚銈汇兂銈裤兗銆?,,,,,,,,
ohObafdd34Y,18.07.02,銈ゃ儍銉哘 銇婄キ銈婄敺瀹窛脳鎵嬭秺 宸ㄥぇ銉栥儵銉炽偝鈶?绁炶胺銇堛倞銇?Kamiya Erina 2,1,2018-02-06T04:01:56.000Z,[none],90929,442,88,174,https://i.ytimg.com/vi/ohObafdd34Y/default.jpg,FALSE,FALSE,FALSE,,,,,,,,,,
aBr2kKAHN6M,18.07.02,Live Views of Starman,SpaceX,28,2018-02-06T21:38:22.000Z,[none],6408303,165892,2331,3006,https://i.ytimg.com/vi/aBr2kKAHN6M/default.jpg,FALSE,FALSE,FALSE,,,,,,,,,
5wNnwChvmsQ,18.07.02,鏉变含銉囥偅銈恒儖銉笺儶銈俱兗銉堛伄鍏冦偔銉ｃ偣銉堛亴鏆撮湶銇椼仧绉樺瘑5閬?銈偡銈裤儙銉儉銈?25,2018-02-06T06:08:49.000Z,銈偡銈裤儙銉儉銈?96255,1165,277,545,https://i.ytimg.com/vi/5wNnwChvmsQ/default.jpg,FALSE,FALSE,FALSE,鏉变含銉囥偅銈恒儖銉笺儶銈俱兗銉堛伄鍏冦偔銉ｃ偣銉堛亴鏆撮湶銇椼仧绉樺瘑5閬竆n\n銇嬨仧銇俱倞銈儶銈ㄣ偆銉堛仌銇綷n銆愭瑷笺€戙儑銈ｃ偤銉嬨兗銉┿兂銉夈仹銈儯銈广儓銇曘倱銈掋儕銉炽儜鍑烘潵銈嬨伄銇嬶紵\nhttps://www.youtube.com/watch?v=sCHIFCMZAT8&t=225s\n\n銉囥偅銈恒儖銉笺倛銈娿偢銉ｃ偆銈兂銉勩€傘伨銇勩仹銇欍€俓n\n浠婂洖銇澅浜儑銈ｃ偤銉嬨兗銉┿兂銉夈伄鍏冦偔銉ｃ偣銉堛亴鏆撮湶銇椼仧绉樺瘑銈?銇ゃ€併仈绱逛粙銇椼伨銇欍€俓n\n銈傘亸銇榎n1.銉斻兗銈圭姝€€\n2.銉娿兂銉戝蹇淺n3.绂佹浜嬮爡\n4.寰呴亣\n5.銈儯銈广儓銇壒鍏竆n\n寮曠敤锛歕nhttp://urx.red/IoZO\nhttps://www.photo-ac.com/\nhttp://hennae.net/?p=2445\n\n闊虫ソ寮曠敤锛堛儠銉兗闊虫簮锛夛細\n榄旂帇榄?http://maoudamashii.jokersounds.com/\nDOVA-SYNDROME銆€銆€https://dova-s.jp\n\n钁椾綔妯╃瓑銆佸嫊鐢汇伀鍟忛銇屻亗銈嬪牬鍚堛伅銇撱仭銈夈伀銇旈€ｇ怠銇勩仧銇犮亼銈屻伆\n鏀瑰杽銉讳慨姝ｃ仌銇涖仸銇勩仧銇犮亶銇俱仚銆俓n绶ㄩ泦銇厱銇屾偑銇忋仧銇忋仌銈撱伄銇旀寚鎽樸倰闋傘亜銇︺亰銈娿伨銇欍€俓n銈堛倞鎮亜銈傘伄銇嬨倝闋嗘淇銇曘仜銇︺亜銇熴仩銇嶃伨銇欎簨銈掋仈浜嗘壙銇忋仩銇曘亜銆俓njustoyakudachi@gmail.com,,,,,,,,,,,
B7J47qFvdsk,18.07.02,姒€夊銆呫€佽鎾冦伄姝汇倱銇犮伒銈婏紒鏄犵敾銆庡銇赴銈嬨仺濡汇亴蹇呫仛姝汇倱銇犮伒銈娿倰銇椼仸銇勩伨銇欍€傘€忕壒鍫?銈枫儘銉炪儓銈ャ儑銈?1,2018-02-06T02:30:00.000Z,[none],108408,1336,74,201,https://i.ytimg.com/vi/B7J47qFvdsk/default.jpg,FALSE,FALSE,FALSE,瀹躲伀甯般仯銇︺亶銇熴偟銉┿儶銉笺優銉炽伄銇樸倕銈擄紙瀹夌敯椤曪級銇€佺巹闁仹琛€銈掑嚭銇椼仸鍊掋倢銇︺亜銈嬪銇°亪锛堟Ξ鍊夊銆咃級銇Э銈掔洰銇仐銇﹂銇忋€傘仩銇屻€佽銇偙銉併儯銉冦儣銇у郊濂炽伅姝汇倱銇犮伒銈娿倰銇椼仸銇勩倠銇犮亼銇犮仯銇熴€傞銇忓か銈掕銇︺伝銇忋仢绗戙個銇°亪銆傘仢銈屻倰澧冦伀褰煎コ銇€併儻銉嬨伀椋熴倧銈屻仧銈娿€侀妰銇ф拑銇熴倢銇熴倞銆侀牠銇煝銇岀獊銇嶅埡銇曘仯銇熴倞銇ㄣ€併仌銇俱仏銇俱仾銈枫儊銉ャ偍銉笺偡銉с兂銇ф銈撱仩銇点倞銈掋仚銈嬨倛銇嗐伀銆傘亗銇嶃倢銈嬨仒銈呫倱銇犮仯銇熴亴銆佺悊鐢便倐瑷€銈忋仛銇鎬仾琛屽嫊銈掔稓銇戙倠銇°亪銇銇椼仸涓嶅畨銈掕銇堛倠銆傘倓銇屻仸銆併仢銈屻倝銇屽郊濂炽伄鐧恒仚銈嬩綍銇嬨伄銈点偆銉炽仹銇仾銇勩亱銇ㄨ€冦亪銈嬨亴鈥︹€︺€俓n浣滃搧鎯呭牨锛歨ttps://www.cinematoday.jp/movie/T0022081\n鍏紡銈点偆銉堬細http://tsumafuri.jp/\n(C) 2018銆屽銇赴銈嬨仺濡汇亴蹇呫仛姝汇倱銇犮伒銈娿倰銇椼仸銇勩伨銇欍€傘€嶈＝浣滃鍝′細,,,,,,,,,,
OIDfjdGERr8,18.07.02,鏈夎硛銇曘仱銇嶃仌銈撱伄姝诲洜銈掑厓澶兓鍜岀敯鍦亴浼氳鍓嶃伀婕忋倝銇椾竴鍚屾稒銇祼銉汇兓銉?婵€鐧斤紒锛併偣銉笺儜銉艰姼鑳姐儊銉ｃ兂銉嶃儷锛侊紒,22,2018-02-06T03:27:10.000Z,"鏈夎硛銇曘仱銇峾""鍏湪浜滃笇瀛?|""""娌抽噹鏅瓙""""|""""璨翠箖鑺?""|""""涓夊畢""""|""""銇傘倞銇屻仌銇ゃ亶""""|""""鍜岀敯鍦?""""",193593,0,0,53,https://i.ytimg.com/vi/OIDfjdGERr8/default.jpg,FALSE,TRUE,FALSE,Twitter濮嬨倎銇俱仐銇燂紒\n\n鐧婚尣銈堛倣銇椼亸銇婇銇勩仐銇俱仚锛撅季\nhttps://twitter.com/gekihakusuper\n\n\n銉併儯銉炽儘銉櫥閷层倛銈嶃仐銇忋亰椤樸亜銇椼伨銇欍伃锛堬季锛撅級/\n\nhttps://www.youtube.com/channel/UCWkKj0d-Xfk2MohPberHPOw/videos?sort=dd&view=0&shelf_id=0\n\n\n銆€锛滈枹閫ｅ嫊鐢伙紴\n\n\n鏈夎硛銇曘仱銇嶃仌銈撴€ユ銇笁瀹呫偄銉娿亴鍎仐銇忚獮銇ｃ仧鈥濄亗銈嬩竴瑷€鈥濄伀娑欍亴姝伨銈夈仾銇勩兓銉汇兓杌介儴銈儕銈傚彿娉ｅ繀鑷砛nhttps://www.youtube.com/watch?v=C9Efqx-gfdg&t=2s\n\n\n鏈夎硛銇曘仱銇嶈▋鍫便伀銇ゃ亜銇﹀悓灞€銈儕銇岃獮銇ｃ仧 鈥溿亗銈嬭█钁夆€濄伀娑欍伄宓愨€﹁Κ銇ㄣ仐銇︺偄銉娿偊銉炽偟銉笺仺銇椼仸鈥nhttps://www.youtube.com/watch?v=spEPub0ZmOE\n\n\n濂冲瓙銈儕鏈夎硛銇曘仱銇嶃仌銈撶獊鐒躲伀鈥﹀厓澶倐瑷€銇堛仾銇勫師鍥犮亴鍒ゆ槑锝ワ渐锝ユ渶鏈熴伨銇х梾姘椼倰鍏〃銇椼仾銇嬨仯銇熺悊鐢便伀娑欍亴姝伨銈夈仾銇?..璨翠箖鑺辫Κ鏂瑰ゥ妲樻渤閲庢櫙瀛愶渐鍏湪浜滃笇瀛愩仺鏈€鍒濄偄銈ゃ儔銉偄銉娿伄銉曘偢銉嗐儸銉?浜哄銇?浜恒亴锝ワ渐锝nhttps://www.youtube.com/watch?v=wwPWQuZJ-6g\n\n\n鏈夎硛銇曘仱銇嶃伄瑷冨牨銇銇欍倠鐖躲伄涓€瑷€銇稒銇屾銇俱倝銇亜鈥︺€傘亱銇ゃ倝銉绘縺銈勩仜銇師鍥犮伀鎲舵脯搴冦亴銈嬨€俓nhttps://www.youtube.com/watch?v=p5dPmyqheso,,,,,,,,,
KqtWo-4A0LU,18.07.02,鍧備笂蹇?銈勩亸銇裤仱銈嬨伀銆屽ぇ婵€鎬掞紒銆嶃儛銈ゃ偔銉炽偘 2018骞?鏈?鏃?20180206,nbsc006,22,2018-02-06T05:31:33.000Z,[none],55465,189,339,800,https://i.ytimg.com/vi/KqtWo-4A0LU/default.jpg,FALSE,FALSE,FALSE,,,,,,,,,
MPQaySneSUc,18.07.02,鐩存拑LIVE 銈般儍銉囥偅! 2018骞?鏈?鏃?180206,銉愩偆銈兂銈?2018,23,2018-02-06T07:01:29.000Z,[none],66272,51,167,164,https://i.ytimg.com/vi/MPQaySneSUc/default.jpg,FALSE,FALSE,FALSE,鐩存拑LIVE 銈般儍銉囥偅! 2018骞?鏈?鏃?180206,,,,,,,,
zIhc0rXajCk,18.07.02,銈嗐伀銇般兗銇欍€€婕墠銆屻亗銈屼綍銆?com808,23,2018-02-05T23:27:51.000Z,[none],57820,334,76,107,https://i.ytimg.com/vi/zIhc0rXajCk/default.jpg,FALSE,FALSE,FALSE,,,,,,,,,,
FVPmVIfl3-o,18.07.02,绌舵サ銇縺銈︺優涓笺伄浣溿倞鏂广€?銇亜銇樸亙杩蜂綔鍔囧牬,19,2018-02-06T06:30:00.000Z,"鍗祙""鐜夊瓙""|""TKG""|""閱ゆ补""|""銇熴伨銇斻亱銇戙仈椋?|""""鍗点亱銇戙仈椋?""|""""Recipe (Literature Subject)""""|""""Cuisine""""|""""Food""""|""""Cooking""""|""""Kitchen""""|""""Cook""""|""""Recipes""""|""""Cook (Profession)""""|""""鐩帀鐒笺亶""""|""""鐩帀鐒笺亶涔椼仜""""|""""銈儸銉炽偢""""|""""銉偡銉?""|""""Eating""""|""""Healthy""""|""""Foods""""|""""Taste""""|""""銇亜銇樸亙""""|""""japan""""|""""銈堛仐銈傘仺""""|""""鍐峰噸鍗?""""",105112,1547,540,499,https://i.ytimg.com/vi/FVPmVIfl3-o/default.jpg,FALSE,FALSE,FALSE,鈽嗐儊銉ｃ兂銉嶃儷鐧婚尣銇娿伃銇屻亜銇椼伨銇橽nhttp://www.youtube.com/user/haijimovie\n\n鈽嗐伅銇勩仒銇冦優銈般偒銉冦儣\nhttp://www.yoshimoto-goods.com/\n\n鈽嗐伅銇勩仒銇冦伄銆怢INE銈广偪銉炽儣銆慭nhttps://store.line.me/stickershop/product/1004770/ja\n\n鈽嗐伅銇勩仒銇冦伄銈汇偒銉炽儔銉併儯銉炽儘銉玕nhttps://www.youtube.com/user/haijigame\n\n鈻爁acebook銆€https://www.facebook.com/tomotake.haijima\n鈻燭witter銆€   hai_g\n鈻營nstagram  hai_g\n鈻犮儢銉偘 http://blogs.yahoo.co.jp/haijima_blog\n\n鈽嗘ソ鏇叉彁渚沑n銆怉sylum audio銆戙仌銇綷nhttp://asylum-audio.com\n\n銇旇鑱淬亗銈娿亴銇ㄣ亞銇斻仏銇勩伨銇欙紒\n銇亜銇樸亙銇ㄧ敵銇椼伨銇欍€俓n\n浣撳綋銇熴倞浼佺敾銈勩倖銈嬨倖銈嬨儹銈便倓銆乗n銇撱伄鍕曠敾銇屻伩銇仌銈撱伄姣庢棩銇伅鎶溿亶銇仾銈屻伆銇ㄦ€濄仯銇︺亜銇俱仚銆俓n\n鐩寚銇涖儊銉ｃ兂銉嶃儷鐧婚尣50涓囦汉锛?,,,,,,,,,
