State,Percentage Attempted To Quit Smoking,Percentage of Smokers,Life Expectancy (by years),Estimated Lung and Bronchus Cancer Deaths,Population 2007,Median Income 2007
Alabama,59,22.4,74.4,3240,4627851,40554
Alaska,62,22,77.1,230,683478,64333
Arizona,59.7,19.7,77.5,2850,6338755,49889
Arkansas,56.7,22.3,75.2,2220,2834797,38134
California,58.1,14.3,78.2,13220,36553215,59948
Colorado,56.5,18.6,78.2,1650,4861515,55212
Connecticut,58.6,15.3,78.7,1860,3502309,65967
Delaware,53.4,18.8,76.8,580,864764,54610
District of Columbia,62.3,17.1,72,260,588292,54317
Florida,53,19.2,77.5,12360,18251243,47804
Georgia,57.1,19.3,75.3,4500,9544750,49136
Hawaii,61.8,16.9,80,530,1283388,63746
Idaho,57.2,19.1,77.9,570,1499402,46253
Illinois,58.7,20.1,76.4,6690,12852548,54124
Indiana,54.5,24.1,76.1,3800,6345289,47448
Iowa,55.5,19.8,78.3,1750,2988046,47292
Kansas,54.9,17.8,77.3,1530,2775997,47451
Kentucky,49.4,28.1,75.2,3450,4241474,40267
Louisiana,54.8,22.5,74.2,3020,4293204,40926
Maine,57.7,20.1,77.6,970,1317207,45888
Maryland,62.2,17,76.3,2900,5618344,68080
Massachusetts,59.6,16.3,78.4,3630,6449755,62365
Michigan,60.9,21,76.3,5840,10071822,47950
Minnesota,58.1,16.4,78.8,2460,5197621,55802
Mississippi,56.7,23.9,73.6,2040,2918785,36338
Missouri,55.1,24.5,75.9,4120,5878415,45114
Montana,60.4,19.4,77.2,520,957861,43531
Nebraska,50,19.9,77.8,900,1774571,47085
Nevada,56,21.4,75.8,1330,2565382,55062
New Hampshire,59.1,19.3,78.3,740,1315828,62369
New Jersey,64.3,17.1,77.5,4380,8685920,67035
New Mexico,57.5,20.7,77,720,1969915,41452
New York,62.7,18.8,77.7,9500,19297729,53514
North Carolina,56.7,22.8,75.8,5150,9061032,44670
North Dakota,52.7,20.9,78.3,350,639715,43753
Ohio,55.5,23,76.2,7310,11466917,46597
Oklahoma,57.2,25.7,75.2,2390,3617316,41567
Oregon,58.3,16.8,77.8,2140,3747455,48730
Pennsylvania,57.2,20.8,76.7,7780,12432792,48576
Rhode Island,58,16.9,78.3,640,1057832,53568
South Carolina,58.7,21.8,74.8,2750,4407709,43329
South Dakota,57,19.8,77.7,420,796214,43424
Tennessee,56.9,24.2,75.1,4320,6156719,42367
Texas,57.7,19.2,76.7,9920,23904380,47548
Utah,62.1,11.7,78.7,470,2645330,55109
Vermont,57.3,17.5,78.2,350,621254,49907
Virginia,55.3,18.4,76.8,4290,7712091,59562
Washington,57.7,16.7,78.2,3170,6468424,55591
West Virginia,55.5,26.8,75.1,1450,1812035,37060
Wisconsin,57.7,19.5,77.9,2890,5601640,50578
Wyoming,56.6,22,76.7,260,522830,51731
