Rank,name,Building/City,Country/Region,Year,Stories,Meters,Feet,
1,Burj Khalifa (formerly Burj Dubai), Dubai, The United Arab Emirates,2010,160,828,2,716
2,Taipei 101, Taipei, Taiwan,2004,101,508,1,667
3,World Financial Center, Shanghai, China,2008,101,492,1,614
4,Petronas Tower 1, Kuala Lumpur, Malaysia,1998,88,452,1,483
5,Petronas Tower 2, Kuala Lumpur, Malaysia,1998,88,452,1,483
6,Greenland Financial Center, Nanjing, China,2009,66,450,1,476
7,Sears Tower, Chicago, U.S.,1974,110,442,1,451
8,Guangzhou West Tower, Guangzhou, China,2009,103,438,1,435
9,Jin Mao Building, Shanghai, China,1999,88,421,1,381
10,Two International Finance Centre, Hong Kong, China2003,88,415,1,362,
11,Trump International Hotel, Chicago, U.S.,2009,96,415,1,362
12,CITIC Plaza, Guangzhou, China,1996,80,391,1,283
13,Shun Hing Square, Shenzhen, China,1996,69,384,1,260
14,Empire State Building, New York, U.S.,1931,102,381,1,250
15,Central Plaza, Hong Kong, China1992,78,374,1,227,
16,Bank of China Tower, Hong Kong, China1989,70,367,1,205,
17,Bank of America Tower, New York City, U.S.,2009,54,366,1,200
18,Almas Tower, Dubai, United Arab Emirates,2009,68,363,1,191
19,Emirates Tower One, Dubai, United Arab Emirates,1999,54,355,1,165
20,Tuntex Sky Tower, Kaohsiung, Taiwan,1997,85,348,1,140
21,Aon Centre, Chicago, U.S.,1973,80,346,1,136
22,The Center, Hong Kong, China,1998,73,346,1,135
23,John Hancock Center, Chicago, U.S.,1969,100,344,1,127
24,Rose Tower, Dubai,,2007,72,333,1,93
25,Shimao International Plaza, Shanghai,,2006,60,333,1,93
26,Minsheng Bank Building, Wuhan, China,2007,68,331,1,87
27,Ryugyong Hotel, Pyongyang, N. Korea,1995,105,330,1,83
28,China World Trade Center, Beijing, China,2009,74,330,1,83
29,The Index, Dubai, United Arab Emirates,2009,80,328,1,76
30,Q1, Gold Coast, Australia,2005,78,323,1,58
31,Burj al Arab Hotel, Dubai,1999,60,321,1,53,
32,Chrysler Building, New York, U.S.,1930,77,319,1,46
33,Nina Tower I, Hong Kong, China2006,80,319,1,46,
34,New York Times Building, New York,2007,52,319,1,46,
35,Bank of America Plaza, Atlanta,1993,55,317,1,39,
36,U.S. Bank Tower, Los Angeles,1990,73,310,1,18,
37,Menara Telekom Headquarters, Kuala Lumpur, Malaysia,1999,55,310,1,17
38,Emirates Tower Two, Dubai,2000,56,309,1,14,
39,AT&T Corporate Center, Chicago,1989,60,307,1,7,
40,The Address Downtown Burj Dubai, Dubai, U.A.E.,2008,63,306,1,4
41,JP Morgan Chase Tower, Houston,1982,75,305,1,2,
42,Baiyoke Tower II, Bangkok,1997,85,304,997,,
43,Two Prudential Plaza, Chicago,1990,64,303,995,,
44,Wells Fargo Plaza, Houston,1983,71,302,992,,
45,Kingdom Centre, Riyadh,2002,41,302,992,,
46,Aspire Tower, Doha,2006,36,300,984,,
47,Arraya 2, Kuwait City, Kuwait,2009,56,300,984,
48,One Island East Centre, Hong Kong, China China,2008,69,298,979,
49,First Bank Tower, Toronto,1975,72,298,978,,
50,Shanghai Wheelock Square, Shanghai, China,2009,58,298,978,
51,Eureka Tower, Melbourne,2006,91,297,975,,
52,Comcast Center, Philadelphia, U.S.,2008,57,297,975,
53,Landmark Tower, Yokohama, Japan,1993,73,296,971,
54,Emirates Crown, Dubai, U.A.E,2008,63,296,971,
55,311 South Wacker Drive, Chicago,1990,65,293,961,,
56,SEG Plaza, Shenzhen, China,2000,71,292,957,
57,American International Building, New York,1932,67,290,952,,
58,Key Tower, Cleveland,1991,57,289,947,,
59,Plaza 66, Shanghai,2001,66,288,945,,
60,One Liberty Place, Philadelphia,1987,61,288,945,,
61,Columbia Center, Seattle, U.S.,1985,76,285,937,
62,Millennium Tower, Dubai,2006,59,285,935,,
63,Sunjoy Tomorrow Square, Shanghai,2003,55,285,934,,
64,Chongqing World Trade Center, Chongqing, China,2005,60,283,929,
65,Cheung Kong Center, Hong Kong, China1999,63,283,929,,
66,The Trump Building, New York,1930,71,283,927,,
67,Bank of America Plaza, Dallas,1985,72,281,921,,
68,United Overseas Bank Plaza, Singapore,1992,66,280,919,,
69,Republic Plaza, Singapore,1995,66,280,919,,
70,Overseas Union Bank Centre, Singapore,1986,63,280,919,,
71,Citigroup Center, New York,1977,59,279,915,,
72,Hong Kong New World Tower, Shanghai,2002,61,278,913,,
73,Diwang International Commerce Center, Nanning, China,2006,54,276,906,
74,Scotia Plaza, Toronto,1989,68,275,902,,
75,Williams Tower, Houston,1983,64,275,901,,
76,Moscow, Moscow,2009,73,274,900,,
77,Wuhan World Trade Tower, Wuhan, China,1998,60,273,896,
78,Cullinan North Tower, Hong Kong, China2007,68,270,886,,
79,Cullinan South Tower, Hong Kong, China2007,68,270,886,,
80,Renaissance Tower, Dallas,1975,56,270,886,,
81,China International Center Tower B, Guangzhou, China,2007,62,270,884,
82,Dapeng International Plaza, Guangzhou, China,2006,56,269,883,
83,One Luijiazui, Shanghai, China,2008,47,269,883,
84,21st Century Tower, Dubai,2003,55,269,883,,
85,Naberezhnaya Tower C, Moscow,2007,61,268,881,,
86,Al Faisaliah Center, Riyadh,2000,30,267,876,,
87,900 North Michigan Ave., Chicago,1989,66,265,871,,
88,Bank of America Corporate Center, Charlotte,1992,60,265,871,,
89,SunTrust Plaza, Atlanta,1992,60,265,871,,
