Regions,Total,Never Married,Married,Living Together,Separated,Divorced,Widowed
Tanzania,24593033,8730828,12570491,1578568,232415,715447,765284
Rural,16405034,5382423,8783238,1059010,155116,461478,563769
Urban,8187999,3348405,3787253,519558,77299,253969,201515
Tanzania Mainland,23858866,8465009,12155757,1573992,230755,683617,749736
Dodoma,1110829,335935,620491,69447,14079,32577,38300
Arusha,962795,355802,512048,40885,8144,19948,25968
Kilimanjaro,989805,353497,525021,30807,9406,26436,44638
Tanga,1139029,378557,623371,48458,9297,35865,43481
Morogoro,1267534,429259,584950,155491,13043,44413,40378
Pwani,640738,211647,334562,37347,5002,26359,25821
Dar es Salaam,2920622,1298536,1270318,164169,24525,96912,66162
Lindi,515460,151432,264322,54268,4238,23636,17564
Mtwara,767499,214850,413300,70441,7446,36606,24856
Ruvuma,763449,239819,406501,71334,4907,19352,21536
Iringa,530685,184889,255217,55867,5534,9879,19299
Mbeya,1514532,499368,800982,111341,17817,34188,50836
Singida,709699,237087,379443,42060,7734,16032,27343
Tabora,1155507,425765,557281,96336,10095,32417,33613
Rukwa,489415,140493,288260,35847,5357,9244,10214
Kigoma,1017015,369064,496446,71049,12922,28787,38747
Shinyanga,787501,295576,395961,43336,6635,23313,22680
Kagera,1261142,396596,668271,104268,18861,34395,38751
Mwanza,1438016,556997,697021,84969,13585,44395,41049
Mara,854867,302280,472659,26415,6810,17351,29352
Manyara,739929,257320,396901,36731,7010,17165,24802
Njombe,398282,133661,214113,24631,3589,7187,15101
Katavi,279558,91677,153618,19582,2612,5649,6420
Simiyu,760960,305544,387985,20379,4526,18923,23603
Geita,843998,299358,436715,58534,7581,22588,19222
Tanzania Zanzibar,734167,265819,414734,4576,1660,31830,15548
Kaskazini Unguja,104691,37079,59663,606,304,4357,2682
Kusini Unguja,67947,21605,40540,490,264,3604,1444
Mjini Magharibi,351661,135091,190072,2648,824,16289,6737
Kaskazini Pemba,109322,37274,65164,433,136,3812,2503
Kusini Pemba,100546,34770,59295,399,132,3768,2182
