Rk,Player,Pos,Team,GP,GS,MPG,PF,PFAVG,FLAG,TECH,EJ,DSQ
1,DeMarcus Cousins,C,SAC,64,62,30.5,257,4.0,2,13,0,7
2,Paul Millsap,PF,UTA,64,62,32.8,222,3.5,0,3,0,5
3,D.J. Kennedy,SG,CLE,2,0,29.5,7,3.5,0,0,0,0
4,Mikki Moore,PF,GS,7,0,16.9,24,3.4,0,0,0,0
5,Blake Griffin,PF,LAC,66,66,36.2,216,3.3,1,13,0,3
6,Amir Johnson,SF,TOR,64,43,24.3,209,3.3,1,0,0,2
7,Luis Scola,PF,HOU,66,66,31.3,214,3.2,0,1,0,1
8,Jermaine O'Neal,C,BOS,25,24,22.8,80,3.2,0,3,0,1
9,David Lee,C,GS,57,57,37.2,179,3.1,0,4,0,6
10,Marc Gasol,C,MEM,65,65,36.5,201,3.1,0,7,0,0
11,Zaza Pachulia,C,ATL,58,44,28.3,172,3.0,1,3,0,1
12,Roy Hibbert,C,IND,65,65,29.8,195,3.0,0,2,0,1
13,Tyson Chandler,C,NY,62,62,33.2,186,3.0,2,12,0,3
14,Andrew Bogut,C,GS,12,12,30.3,36,3.0,0,1,0,2
15,Keith Bogans,SG,NJ,5,1,18.8,15,3.0,0,0,0,0
16,Ekpe Udoh,PF,MIL,61,11,21.1,174,2.9,0,0,0,1
17,Elton Brand,PF,PHI,60,60,28.9,176,2.9,0,0,0,1
18,Kendrick Perkins,C,OKC,65,65,26.8,189,2.9,0,17,0,2
19,Ian Mahinmi,C,DAL,61,12,18.7,176,2.9,0,1,0,2
20,DeAndre Jordan,C,LAC,66,66,27.2,189,2.9,0,7,0,1
21,Dwight Howard,C,ORL,54,54,38.3,159,2.9,0,11,0,2
22,Amar'e Stoudemire,PF,NY,47,47,32.8,138,2.9,0,9,0,1
23,Iman Shumpert,PG,NY,59,35,28.9,173,2.9,1,3,0,1
24,James Johnson,PF,TOR,62,40,25.2,177,2.9,1,0,0,3
25,Paul George,SG,IND,66,66,29.7,191,2.9,0,0,0,1
26,Kris Humphries,PF,NJ,62,62,34.9,173,2.8,1,3,0,2
27,Darryl Watkins,C,NO,5,0,19.6,14,2.8,0,0,0,0
28,LaMarcus Aldridge,PF,POR,55,55,36.3,153,2.8,0,1,0,1
29,Al Harrington,PF,DEN,64,1,27.5,181,2.8,1,3,0,0
30,Carmelo Anthony,SF,NY,55,55,34.1,156,2.8,1,11,1,0
31,Channing Frye,C,PHO,64,59,26.1,176,2.8,0,1,0,0
32,Markieff Morris,PF,PHO,63,7,19.5,179,2.8,0,2,0,2
33,Kevin Love,PF,MIN,55,55,39.0,152,2.8,0,4,0,0
34,Kyle Lowry,PG,HOU,47,38,32.1,133,2.8,0,4,0,0
35,Trevor Booker,PF,WAS,50,32,25.2,138,2.8,0,5,0,1
36,Greg Monroe,C,DET,66,66,31.5,180,2.7,0,4,0,1
37,Jan Vesely,SF,WAS,57,20,18.9,156,2.7,0,0,0,1
38,Emeka Okafor,C,NO,27,27,28.9,73,2.7,0,0,0,0
39,JaVale McGee,C,DEN,61,45,25.2,166,2.7,1,0,0,0
40,Andris Biedrins,C,GS,47,35,15.7,125,2.7,0,0,0,2
41,Spencer Hawes,C,PHI,37,29,24.9,100,2.7,0,1,0,0
42,Tyrus Thomas,PF,CHA,54,30,18.8,144,2.7,1,3,0,2
43,Serge Ibaka,PF,OKC,66,66,27.2,179,2.7,0,4,0,1
44,Chris Singleton,SF,WAS,66,51,21.7,176,2.7,2,0,0,1
45,Shelden Williams,PF,NJ,58,35,22.0,149,2.6,0,1,0,0
46,Greg Stiemsma,C,BOS,55,3,13.9,144,2.6,0,3,0,4
47,DeJuan Blair,PF,SA,64,62,21.3,168,2.6,0,2,0,0
48,Aaron Gray,C,TOR,49,40,16.6,127,2.6,0,3,1,2
49,Larry Sanders,PF,MIL,52,0,12.4,133,2.6,1,7,2,3
50,Jason Smith,PF,NO,40,29,23.7,102,2.6,1,2,1,0
