NAME,REGION,DISTRICT,OWNERSHIP,LATITUDE,LONGITUDE,PASS_RATE,AVG_MARK,CHANGE_PREVIOUS_YEAR,RANK,YEAR_OF_RESULT
 WAJA SPRINGS PR. SCHOOL, GEITA, GEITA MJI, PRIVATE,-2.86507,32.1735,100,235.13,-3.13,2,2016
 KWEMA MODERN PR. SCHOOL, SHINYANGA, KAHAMA MJI, PRIVATE,-3.84126,32.5965,100,234.3,2.1,3,2016
 ROCKEN HILL PR. SCHOOL, SHINYANGA, KAHAMA MJI, PRIVATE,-3.83002,32.6111,100,232.9,-3.46,5,2016
 MUGINI ENG MED PR. SCHOOL, MWANZA, MAGU, PRIVATE,-2.61011,33.4023,100,230.85,-5.67,6,2016
 PEACLAND ENGLISH MEDIUM SCHOOL, MWANZA, UKEREWE, PRIVATE,-1.9956,33.0136,100,230.22,-1.47,7,2016
 FOUNTAIN OF JOY PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.78847,39.1063,100,228.8,8.64,8,2016
 TUSIIME PR. SCHOOL, DAR ES SALAAM, ILALA(M), PRIVATE,-6.84342,39.1918,100,227.8,2.43,9,2016
 MUDIO ISLAMIC PR. SCHOOL, KILIMANJARO, HAI, PRIVATE,-3.18889,37.197,100,226.28,19.15,10,2016
 HAZINA PR. SCHOOL, DAR ES SALAAM, KINONDONI(M), PRIVATE,-6.804,39.2616,100,225.4,-8.14,11,2016
 LAALAKIR PR. SCHOOL, MANYARA, KITETO, GOVN,-4.94504,36.3534,100,225,1.63,12,2016
 ATLAS PR. SCHOOL, DAR ES SALAAM, KINONDONI(M), PRIVATE,-6.71105,39.1394,100,224.86,-1.05,13,2016
 MARTIN LUTHER KING PR. SCHOOL, DODOMA, DODOMA(M), PRIVATE,-6.10373,35.7904,100,223.5,28.3,14,2016
 ALLIANCE ENGLISH MEDIUM, MWANZA, MWANZA JIJI, PRIVATE,-2.58519,32.9425,100,222.56,-13.56,15,2016
 ST ACHILEUS KIWANUKA EMPS, KAGERA, MULEBA, PRIVATE,-1.90939,31.5121,100,222.55,-2.26,16,2016
 GIFTSKILLFULL PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.7998,39.1296,100,222.3,19.93,18,2016
 MAHAWA INDEPENDENT ENG MEDIUM, MWANZA, MWANZA JIJI, PRIVATE,-2.58519,32.9425,100,221.71,19.99,19,2016
 EBEN EZER ENG- MD PR SCHOOL, TANGA, TANGA MJINI, PRIVATE,-5.11176,39.0154,100,221.48,7.37,20,2016
 ST JOSEPH PR. SCHOOL, KILIMANJARO, ROMBO, PRIVATE,-3.09064,37.4896,100,221.44,25,21,2016
 DEKAPOLI ENGLISH MEDIUM SCHOOL, SIMIYU, MASWA, PRIVATE,-3.22776,33.7873,100,220.5,11.98,22,2016
 PARADISE ENGISH MEDIUM, GEITA, CHATO, PRIVATE,-2.84001,31.6809,100,219.58,-11.98,23,2016
 CARMEL PR. SCHOOL, MOROGORO, MOROGORO(M), PRIVATE,-6.77665,37.6626,100,218.84,13.79,24,2016
 NYIWA PR. SCHOOL, DAR ES SALAAM, ILALA(V), PRIVATE,-6.84213,39.1505,100,218.83,22.83,25,2016
 PALIKAS PR. SCHOOL, SHINYANGA, KAHAMA MJI, PRIVATE,-3.84126,32.5965,100,218.47,-16.01,26,2016
 JOSEPH & MARY ENG MED PR. SCHOOL, MWANZA, MAGU, PRIVATE,-2.61011,33.4023,100,217.81,46.13,28,2016
 ST PETER CLAVER PR. SCHOOL, KAGERA, KARAGWE, PRIVATE,-1.57653,31.165,100,216.55,-5.33,31,2016
 ST JOSEPH RUTABO EMPS, KAGERA, MULEBA, PRIVATE,-1.61163,31.6196,100,216.28,-6.78,32,2016
 ST LEO THE GREAT PR. SCHOOL, TABORA, IGUNGA, PRIVATE,-4.34142,33.6872,100,215.73,21.75,33,2016
 BWEYA PR. SCHOOL, GEITA, GEITA VIJIJINI, GOVN,-2.57788,32.2086,100,215.27,70.24,35,2016
 DE PAUL ENGLISH MEDIUM PR. SCHOOL, RUVUMA, SONGEA(M), PRIVATE,-10.6372,35.6551,100,215.18,12.26,36,2016
 BOHARI PR. SCHOOL, KAGERA, KARAGWE, GOVN,-1.64333,31.1164,100,215.17,4.94,37,2016
 ATLAS MADALE PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.72625,39.1409,100,215.15,2.55,38,2016
 ENYAMAI PR. SCHOOL, MARA, SERENGETI, PRIVATE,-1.79248,34.6638,100,215.07,-22.7,39,2016
 DESTINY ENGLISH MEDIUM SCHOOL, MARA, TARIME, PRIVATE,-1.39015,34.4663,100,215.07,23.97,40,2016
 HEAGTON ENGLISH MEDIUM PR. SCHOOL, MARA, TARIME, PRIVATE,-1.39015,34.4663,100,214.94,4.71,41,2016
 MACEDONIA PR. SCHOOL, DAR ES SALAAM, ILALA(V), PRIVATE,-6.83688,39.1687,100,214.89,13.18,42,2016
 IMANI PR. SCHOOL, KILIMANJARO, MOSHI(V), PRIVATE,-3.47,37.3695,100,214.72,-9.81,44,2016
 LUCKY VICENT PR. SCHOOL, ARUSHA, ARUSHA(M), PRIVATE,-3.41014,36.6548,100,214.61,29.29,45,2016
 ROCKEN HILL JUNIOR PR. SCHOOL, SHINYANGA, KAHAMA MJI, PRIVATE,-3.84126,32.5965,100,214.46,2.39,46,2016
 POPE JOHN PAUL II PR. SCHOOL, MARA, TARIME, PRIVATE,-1.39015,34.4663,100,214.29,11.37,48,2016
 SABISA PR. SCHOOL, DAR ES SALAAM, ILALA(M), PRIVATE,-6.82488,39.189,100,214.21,7.96,50,2016
 BARIADI ALLIANCE ENG MED SCHOOL, SIMIYU, BARIADI MJI, PRIVATE,-2.57074,34.3072,100,213.96,-16.3,52,2016
 TEGEMEO PR. SCHOOL, KAGERA, KARAGWE, PRIVATE,-1.57653,31.165,100,213.77,8.11,54,2016
 MWASAMA PRE AND PR. SCHOOL, PWANI, BAGAMOYO, PRIVATE,-6.46597,38.9211,100,213.69, ,55,2016
 ST HELLENS PR. SCHOOL, MWANZA, ILEMELA, PRIVATE,-2.45482,32.9793,100,213.61,44.58,56,2016
 MT BAKITA PR. SCHOOL, NJOMBE, MJI NJOMBE, GOVN,-9.51326,34.8859,100,213.55,20.66,58,2016
 METHODIST ENG MED PR. SCHOOL, MWANZA, MAGU, PRIVATE,-2.61011,33.4023,100,213.5,-5.32,59,2016
 ALI HASSAN MWINYI ELITE PR. SCHOOL, DAR ES SALAAM, KINONDONI(M), PRIVATE,-6.80523,39.258,100,213.43,17.4,60,2016
 GOLDEN VALLEY PR. SCHOOL, GEITA, GEITA MJI, PRIVATE,-2.86507,32.1735,100,213.35,-15.36,62,2016
 EDEN PR. SCHOOL, MWANZA, ILEMELA, PRIVATE,-2.45482,32.9793,100,212.75,28.11,64,2016
 ALBEHIJE PR. SCHOOL, ARUSHA, ARUSHA, PRIVATE,-3.35289,36.6717,100,212.73,24.73,65,2016
 HOLY CROSS ENGLISH MEDIUM PR. SCHOOL, DAR ES SALAAM, TEMEKE(M), PRIVATE,-6.88004,39.2899,100,212.36,10.2,67,2016
 STDOMINICSAVIO PR. SCHOOL, IRINGA, IRINGA(M), PRIVATE,-7.7318,35.7078,100,211.76,-7.91,68,2016
 SUNSET PR. SCHOOL, SHINYANGA, KAHAMA MJI, PRIVATE,-3.84126,32.5965,100,211.38,4.63,69,2016
 STJOHN BOSCO PR. SCHOOL, MARA, MUSOMA(M), PRIVATE,-1.48985,33.8071,100,211.37,30.6,70,2016
 ST CATHERINE LABOUR'E PR. SCHOOL, MARA, TARIME, PRIVATE,-1.39015,34.4663,100,211.35,12.71,71,2016
 NEW ALLIANCE ENGLISH MEDIUM, MWANZA, MWANZA JIJI, PRIVATE,-2.58519,32.9425,100,211.25,-12.34,72,2016
 ANNE-MARIE PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.80223,39.1255,100,211.23,17.12,73,2016
 GREENHILL PR. SCHOOL, DAR ES SALAAM, ILALA(V), PRIVATE,-6.89164,39.1195,100,211.15,15.27,74,2016
 YORDAN ENG MED PR. SCHOOL, SIMIYU, BUSEGA, PRIVATE,-2.3853,33.7792,100,211.06,-1.06,76,2016
 STJOSEPH'SMILLENIUMPRSCHOOL, DAR ES SALAAM, ILALA(M), PRIVATE,-6.73333,39.2024,100,210.88,-4.78,77,2016
 MARIAN PR. SCHOOL, PWANI, BAGAMOYO, PRIVATE,-6.40644,38.7982,100,210.75,17.23,80,2016
 ADOLPH KOLPING, KAGERA, BUKOBA MANISPAA, PRIVATE,-1.31455,31.8042,100,210.3,3.92,82,2016
 RASKAZONE ENG- MED PR SCHOOL, TANGA, TANGA MJINI, PRIVATE,-5.11176,39.0154,100,210.04,13.74,83,2016
 TULELE PR. SCHOOL, MWANZA, ILEMELA, PRIVATE,-2.45482,32.9793,100,209.98,9.22,84,2016
 MZIGU ENGLISH MEDIUM, MWANZA, MWANZA JIJI, PRIVATE,-2.58519,32.9425,100,209.89,-16.03,85,2016
 MWANGAZA PR. SCHOOL, GEITA, CHATO, GOVN,-2.64635,31.477,100,209.3,8.25,87,2016
 KAIZIREGE PR. SCHOOL, KAGERA, BUKOBA MANISPAA, PRIVATE,-1.31455,31.8042,100,209.28,-22.14,88,2016
 HIGHRIDGE PR. SCHOOL, DAR ES SALAAM, KINONDONI(V), PRIVATE,-6.79029,39.1469,100,209.24,29,89,2016
 AL-HUDHAIFA ISLAMIC PR. SCHOOL, KAGERA, BUKOBA(V), PRIVATE,-1.42971,31.5849,98,209.2,29.99,90,2016
