Rank,Place,State,"July 1, 2002 Population","July 1, 2001 Population","July 1, 2000 Population","April 1, 2000 Population Estimates Base",Census 2000 Population
1,New York city,New York,"8,084,316","8,062,027","8,018,546","8,008,278","8,008,278"
2,Los Angeles city,California,"3,798,981","3,751,815","3,705,510","3,694,742","3,694,820"
3,Chicago city,Illinois,"2,886,251","2,894,581","2,896,095","2,896,047","2,896,016"
4,Houston city,Texas,"2,009,834","1,983,065","1,959,379","1,953,633","1,953,631"
5,Philadelphia city,Pennsylvania,"1,492,231","1,501,777","1,514,029","1,517,550","1,517,550"
6,Phoenix city,Arizona,"1,371,960","1,347,458","1,326,124","1,321,190","1,321,045"
7,San Diego city,California,"1,259,532","1,246,252","1,227,970","1,223,416","1,223,400"
8,Dallas city,Texas,"1,211,467","1,205,897","1,191,272","1,188,589","1,188,580"
9,San Antonio city,Texas,"1,194,222","1,170,820","1,155,313","1,151,268","1,144,646"
10,Detroit city,Michigan,"925,051","935,864","948,048","951,270","951,270"
11,San Jose city,California,"900,443","906,183","898,149","895,005","894,943"
12,Indianapolis city (balance),Indiana,"783,612","784,343","781,850","781,870","781,870"
13,San Francisco city,California,"764,049","775,978","776,855","776,733","776,733"
14,Jacksonville city,Florida,"762,461","749,201","736,534","735,617","735,617"
15,Columbus city,Ohio,"725,228","721,139","713,778","711,548","711,470"
16,Austin city,Texas,"671,873","672,974","660,657","656,562","656,562"
17,Memphis city,Tennessee,"648,882","648,202","649,958","650,100","650,100"
18,Baltimore city,Maryland,"638,614","645,305","648,756","651,154","651,154"
19,Milwaukee city,Wisconsin,"590,895","593,093","596,125","596,974","596,974"
20,Boston city,Massachusetts,"589,281","591,707","589,403","589,141","589,141"
21,Charlotte city,North Carolina,"580,597","571,288","561,081","558,549","540,828"
22,El Paso city,Texas,"577,415","570,997","565,374","563,657","563,662"
23,Washington city,District of Columbia,"570,898","573,822","571,641","572,059","572,059"
24,Seattle city,Washington,"570,426","569,494","564,030","563,372","563,374"
25,Fort Worth city,Texas,"567,516","553,341","541,925","539,167","534,694"
26,Denver city,Colorado,"560,415","563,238","556,577","554,636","554,636"
27,Nashville-Davidson (balance),Tennessee,"545,915","546,496","545,641","545,534","545,524"
28,Portland city,Oregon,"539,438","535,186","529,743","529,148","529,121"
29,Oklahoma City city,Oklahoma,"519,034","512,497","507,461","506,129","506,132"
30,Las Vegas city,Nevada,"508,604","498,935","483,937","479,644","478,434"
31,Tucson city,Arizona,"503,151","495,506","489,572","487,285","486,699"
32,New Orleans city,Louisiana,"473,681","478,427","483,667","484,674","484,674"
33,Long Beach city,California,"472,412","466,530","462,432","461,522","461,522"
34,Cleveland city,Ohio,"467,851","472,031","476,398","477,459","478,403"
35,Albuquerque city,New Mexico,"463,874","454,109","449,480","448,607","448,607"
36,Fresno city,California,"445,227","436,389","430,085","428,806","427,652"
37,Kansas City city,Missouri,"443,471","442,608","441,828","441,545","441,545"
38,Sacramento city,California,"435,245","422,075","409,375","407,018","407,018"
39,Virginia Beach city,Virginia,"433,934","429,223","426,674","425,257","425,257"
40,Mesa city,Arizona,"426,841","416,953","401,479","397,763","396,375"
41,Atlanta city,Georgia,"424,868","422,673","417,550","416,267","416,474"
42,Oakland city,California,"402,777","404,633","400,787","399,484","399,484"
43,Omaha city,Nebraska,"399,357","395,092","391,171","390,159","390,007"
44,Tulsa city,Oklahoma,"391,908","392,407","392,824","393,120","393,049"
45,Honolulu CDP,Hawaii,"378,155","374,000","371,313","371,657","371,657"
46,Minneapolis city,Minnesota,"375,635","379,513","382,104","382,618","382,618"
47,Miami city,Florida,"374,791","368,614","363,678","362,470","362,470"
48,Colorado Springs city,Colorado,"371,182","371,563","361,346","360,979","360,890"
49,Wichita city,Kansas,"355,126","352,466","351,211","351,028","344,284"
50,Arlington city,Texas,"349,944","342,180","334,719","332,969","332,969"
51,Santa Ana city,California,"343,413","341,360","338,684","337,977","337,977"
52,St. Louis city,Missouri,"338,353","342,773","346,948","348,189","348,189"
53,Anaheim city,California,"332,642","330,660","328,620","328,071","328,014"
54,Pittsburgh city,Pennsylvania,"327,898","330,541","333,806","334,563","334,563"
55,Cincinnati city,Ohio,"323,885","327,739","330,510","331,285","331,285"
56,Tampa city,Florida,"315,140","308,394","304,123","303,463","303,447"
57,Toledo city,Ohio,"309,106","311,391","313,279","313,782","313,619"
58,Raleigh city,North Carolina,"306,944","296,538","284,724","281,915","276,093"
59,Buffalo city,New York,"287,698","289,663","292,034","292,648","292,648"
60,Aurora city,Colorado,"286,028","284,253","277,576","275,922","276,393"
61,St. Paul city,Minnesota,"284,037","286,372","287,030","287,151","287,151"
62,Corpus Christi city,Texas,"278,520","276,691","277,288","277,492","277,454"
63,Newark city,New Jersey,"277,000","274,788","272,878","272,537","273,546"
64,Riverside city,California,"274,226","266,642","257,258","255,175","255,166"
65,Anchorage municipality,Alaska,"268,983","264,015","260,571","260,283","260,283"
66,Lexington-Fayette,Kentucky,"263,618","262,478","260,975","260,512","260,512"
67,Stockton city,California,"262,835","254,774","245,421","243,771","243,771"
68,Bakersfield city,California,"260,969","251,690","244,516","243,072","247,057"
69,Louisville city,Kentucky,"251,399","253,367","255,598","256,231","256,231"
70,St. Petersburg city,Florida,"248,546","247,693","248,301","248,408","248,232"
71,Jersey City city,New Jersey,"240,100","240,999","240,085","240,055","240,055"
72,Birmingham city,Alabama,"239,416","240,905","242,516","242,820","242,820"
73,Norfolk city,Virginia,"239,036","235,446","234,456","234,403","234,403"
74,Plano city,Texas,"238,091","233,954","224,108","222,008","222,030"
75,Lincoln city,Nebraska,"232,362","228,850","226,503","225,640","225,581"
76,Glendale city,Arizona,"230,564","228,671","220,730","218,815","218,812"
77,Greensboro city,North Carolina,"228,217","226,550","224,553","224,035","223,891"
78,Hialeah city,Florida,"228,149","227,331","226,576","226,419","226,419"
79,Baton Rouge city,Louisiana,"225,702","226,941","228,318","228,518","227,818"
80,Garland city,Texas,"219,646","218,259","216,153","215,794","215,768"
81,Rochester city,New York,"217,158","218,022","219,500","219,773","219,773"
82,Scottsdale city,Arizona,"215,779","210,973","204,336","202,736","202,705"
83,Madison city,Wisconsin,"215,211","211,448","208,856","208,126","208,054"
84,Akron city,Ohio,"214,349","215,458","216,854","217,074","217,074"
85,Fort Wayne city,Indiana,"210,070","210,122","210,493","210,415","205,727"
86,Fremont city,California,"206,856","207,784","204,424","203,413","203,413"
87,Chesapeake city,Virginia,"206,665","203,377","200,472","199,184","199,184"
88,Henderson city,Nevada,"206,153","194,005","179,558","175,750","175,381"
89,Lubbock city,Texas,"203,715","201,879","199,732","199,572","199,564"
90,Modesto city,California,"203,555","196,827","190,066","188,856","188,856"
91,Chandler city,Arizona,"202,016","191,426","179,563","176,652","176,581"
92,Montgomery city,Alabama,"201,425","201,024","201,447","201,587","201,568"
93,Glendale city,California,"199,430","197,399","195,424","194,973","194,973"
94,Shreveport city,Louisiana,"199,033","199,593","200,004","200,114","200,145"
95,Des Moines city,Iowa,"198,076","199,031","198,775","198,709","198,682"
96,Tacoma city,Washington,"197,553","195,412","193,840","193,556","193,556"
97,Richmond city,Virginia,"197,456","197,762","197,477","197,790","197,790"
98,Yonkers city,New York,"197,234","197,181","196,414","196,086","196,086"
99,Grand Rapids city,Michigan,"196,595","197,345","197,826","197,800","197,800"
100,Spokane city,Washington,"196,305","195,308","195,493","195,629","195,629"
101,Irving city,Texas,"196,119","194,350","192,027","191,615","191,615"
102,Durham city,North Carolina,"195,914","192,036","188,339","187,364","187,035"
103,Mobile city,Alabama,"194,862","196,939","198,582","198,915","198,915"
104,Chula Vista city,California,"193,919","183,778","175,559","173,566","173,556"
105,Huntington Beach city,California,"193,799","191,697","190,032","189,594","189,594"
106,Orlando city,Florida,"193,722","192,102","190,235","189,752","185,951"
107,Augusta-Richmond County (balance),Georgia,"193,101","194,073","194,950","195,182","195,182"
108,San Bernardino city,California,"191,631","188,769","185,866","185,260","185,401"
109,Laredo city,Texas,"191,538","185,506","178,939","177,322","176,576"
110,Reno city,Nevada,"190,248","186,633","181,419","180,480","180,480"
111,Arlington CDP,Virginia,"189,927","190,092","189,445","189,453","189,453"
112,Boise City city,Idaho,"189,847","188,190","186,331","185,898","185,787"
113,Winston-Salem city,North Carolina,"188,934","187,586","186,053","185,779","185,776"
114,Columbus city,Georgia,"185,948","186,263","186,488","186,291","185,781"
115,Little Rock city,Arkansas,"184,055","183,566","183,205","183,135","183,133"
116,Salt Lake City city,Utah,"181,266","181,509","181,758","181,767","181,743"
117,Jackson city,Mississippi,"180,881","181,990","183,766","184,256","184,256"
118,Newport News city,Virginia,"180,272","179,596","180,106","180,150","180,150"
119,Oxnard city,California,"177,984","175,514","171,429","170,359","170,358"
120,Amarillo city,Texas,"177,010","174,763","173,995","173,627","173,627"
121,Providence city,Rhode Island,"175,901","174,785","173,800","173,618","173,618"
122,Worcester city,Massachusetts,"174,962","174,017","173,003","172,648","172,648"
123,Knoxville city,Tennessee,"173,661","174,047","174,448","174,501","173,890"
124,Garden Grove city,California,"167,429","166,443","165,461","165,196","165,196"
125,Oceanside city,California,"165,880","163,807","161,564","161,029","161,029"
126,Ontario city,California,"165,064","161,857","158,704","158,011","158,007"
127,Dayton city,Ohio,"162,669","163,885","165,740","166,197","166,179"
128,Huntsville city,Alabama,"162,536","159,954","158,751","158,430","158,216"
129,Irvine city,California,"162,122","156,229","145,706","143,072","143,072"
130,Santa Clarita city,California,"160,554","156,828","153,088","152,192","151,088"
131,Tempe city,Arizona,"159,508","158,856","158,634","158,625","158,625"
132,Overland Park city,Kansas,"158,430","154,074","150,247","149,080","149,080"
133,Fort Lauderdale city,Florida,"158,194","156,629","154,690","154,198","152,397"
134,Aurora city,Illinois,"156,974","150,563","144,450","143,078","142,990"
135,Chattanooga city,Tennessee,"155,404","155,266","155,620","155,704","155,554"
136,Tallahassee city,Florida,"155,171","153,471","151,794","151,401","150,624"
137,Pomona city,California,"153,555","151,426","149,781","149,473","149,473"
138,Santa Rosa city,California,"153,489","151,019","148,622","147,854","147,595"
139,Springfield city,Massachusetts,"151,915","151,466","152,062","152,082","152,082"
140,Rockford city,Illinois,"151,068","150,170","150,376","150,323","150,115"
141,Springfield city,Missouri,"151,010","151,457","151,650","151,720","151,580"
142,Moreno Valley city,California,"150,773","146,436","143,129","142,379","142,381"
143,Paterson city,New Jersey,"150,750","150,106","149,331","149,222","149,222"
144,Brownsville city,Texas,"150,425","145,486","140,795","139,715","139,722"
145,Vancouver city,Washington,"149,811","147,417","144,170","143,593","143,560"
146,Salinas city,California,"148,744","146,925","144,373","143,776","151,060"
147,Kansas City city,Kansas,"146,978","147,491","146,823","146,866","146,866"
148,Pembroke Pines city,Florida,"146,637","142,180","138,344","137,415","137,427"
149,Hampton city,Virginia,"145,921","145,872","146,494","146,437","146,437"
150,Syracuse city,New York,"145,164","145,658","146,262","146,435","147,306"
151,Pasadena city,Texas,"145,034","143,256","141,968","141,674","141,674"
152,Lakewood city,Colorado,"143,754","143,990","144,143","144,137","144,126"
153,Rancho Cucamonga city,California,"143,711","135,198","129,160","127,743","127,743"
154,Fontana city,California,"143,607","137,745","130,619","128,938","128,929"
155,Hollywood city,Florida,"143,213","141,389","139,901","139,530","139,357"
156,Hayward city,California,"142,718","142,940","140,704","140,031","140,030"
157,Torrance city,California,"141,615","140,062","138,345","137,946","137,946"
158,Salem city,Oregon,"140,977","138,647","137,349","136,971","136,924"
159,Eugene city,Oregon,"140,395","139,146","138,552","138,319","137,893"
160,Bridgeport city,Connecticut,"140,104","139,869","139,679","139,529","139,529"
161,Pasadena city,California,"139,712","136,987","134,521","133,936","133,936"
162,Corona city,California,"138,326","132,810","126,696","125,251","124,966"
163,Warren city,Michigan,"137,672","137,823","138,317","138,247","138,247"
164,Escondido city,California,"135,908","135,299","133,958","133,643","133,559"
165,North Las Vegas city,Nevada,"135,902","127,409","117,975","115,488","115,488"
166,Naperville city,Illinois,"135,389","132,430","129,246","128,420","128,358"
167,Grand Prairie city,Texas,"135,303","132,544","128,365","127,427","127,427"
168,Gilbert town,Arizona,"135,005","122,372","112,384","109,920","109,697"
169,Orange city,California,"131,606","130,651","129,198","128,821","128,821"
170,Alexandria city,Virginia,"130,804","130,828","129,229","128,283","128,283"
171,Sioux Falls city,South Dakota,"130,491","128,178","125,243","124,293","123,975"
172,Sunnyvale city,California,"129,687","131,517","131,853","131,760","131,760"
173,Fullerton city,California,"128,842","127,348","126,281","126,003","126,003"
174,Mesquite city,Texas,"128,776","127,328","125,003","124,523","124,523"
175,Savannah city,Georgia,"127,691","128,876","130,933","131,555","131,510"
176,Sterling Heights city,Michigan,"126,146","124,923","124,606","124,471","124,471"
177,Coral Springs city,Florida,"125,674","122,072","118,449","117,549","117,549"
178,Concord city,California,"125,225","124,243","122,152","121,780","121,780"
179,Fort Collins city,Colorado,"124,665","122,268","119,314","118,716","118,652"
180,Lancaster city,California,"124,592","121,500","119,227","118,718","118,718"
181,Hartford city,Connecticut,"124,558","124,404","124,177","124,121","121,578"
182,Palmdale city,California,"124,346","120,726","117,584","116,829","116,670"
183,Fayetteville city,North Carolina,"124,286","124,471","124,967","125,024","121,015"
184,New Haven city,Connecticut,"124,176","123,788","123,600","123,626","123,626"
185,Elizabeth city,New Jersey,"123,279","122,223","120,847","120,568","120,568"
186,Peoria city,Arizona,"123,239","117,880","110,495","108,685","108,364"
187,Thousand Oaks city,California,"122,700","119,533","117,538","117,005","117,005"
188,Cedar Rapids city,Iowa,"122,514","122,235","121,547","121,296","120,758"
