Rank,Name,Location,Type,Num,Tuition
1, Harvard University , Cambridge, MA ,39,849
1, Princeton University , Princeton, NJ ,37,760
3, Yale University , New Haven, CT ,40,500
4, Columbia University , New York, NY ,45,290
5, California Institute of Technology , Pasadena, CA ,37,704
5, Massachusetts Institute of Technology , Cambridge, MA ,40,732
5, Stanford University , Stanford, CA ,40,569
5, University of Chicago , Chicago, IL ,42,783
5, University of Pennsylvania , Philadelphia, PA ,42,598
10, Duke University , Durham, NC ,41,958
11, Dartmouth College , Hanover, NH ,42,996
12, Northwestern University , Evanston, IL ,41,983
13, Johns Hopkins University , Baltimore, MD ,42,280
14, Washington University in St. Louis , St. Louis, MO ,41,992
15, Brown University , Providence, RI ,42,230
15, Cornell University , Ithaca, NY ,41,541
17, Rice University , Houston, TX ,35,551
17, Vanderbilt University , Nashville, TN ,41,332
19, University of Notre Dame , Notre Dame, IN ,41,417
20, Emory University , Atlanta, GA ,41,164
21, University of California--Berkeley , Berkeley, CA ,34,645
22, Georgetown University , Washington, DC ,41,393
23, Carnegie Mellon University , Pittsburgh, PA ,43,396
23, University of Southern California , Los Angeles, CA ,42,818
25, University of California--Los Angeles , Los Angeles, CA ,34,482
25, University of Virginia , Charlottesville, VA ,36,570
25, Wake Forest University , Winston-Salem, NC ,41,576
28, University of Michigan--Ann Arbor , Ann Arbor, MI ,37,265
29, Tufts University , Medford, MA ,42,962
29, University of North Carolina--Chapel Hill , Chapel Hill, NC ,26,834
31, Boston College , Chestnut Hill, MA ,42,204
31, Brandeis University , Waltham, MA ,41,860
33, College of William and Mary , Williamsburg, VA ,35,409
33, New York University , New York, NY ,41,606
35, University of Rochester , Rochester, NY ,41,826
36, Georgia Institute of Technology , Atlanta, GA ,27,862
37, University of California--San Diego , La Jolla, CA ,35,639
38, Case Western Reserve University , Cleveland, OH ,39,120
38, Lehigh University , Bethlehem, PA ,40,960
38, University of California--Davis , Davis, CA ,35,672
38, University of Miami , Coral Gables, FL ,39,654
42, University of California--Santa Barbara , Santa Barbara, CA ,35,386
42, University of Washington , Seattle, WA ,28,583
42, University of Wisconsin--Madison , Madison, WI ,25,421
45, Pennsylvania State University--University Park , University Park, PA ,28,660
45, University of California--Irvine , Irvine, CA ,35,780
45, University of Illinois--Urbana-Champaign , Champaign, IL ,27,700
45, University of Texas--Austin , Austin, TX ,32,506
45, Yeshiva University , New York, NY ,35,150
50, George Washington University , Washington, DC ,42,425
