Movie,Release Year,Revenue ($),region,type
Avatar,2009,2781505847,,
Titanic,1997,1835300000,,
Harry Potter and the Deathly Hallows: Part 2,2011,1327655619,,
The Lord of the Rings: The Return of the King,2003,1119102868,,
Transformers: Dark of the Moon,2011,1114558779,,
Pirates of the Caribbean: Dead Man's Chest,2006,1065896541,,
Toy Story 3,2010,1062984497,,
Pirates of the Caribbean: On Stranger Tides,2011,1041963875,,
Alice in Wonderland,2010,1023285206,,
The Dark Knight,2008,1001921825,,
Harry Potter and the Sorcerer's Stone,2001,968657891,,
Pirates of the Caribbean: At World's End,2007,958404152,,
Harry Potter and the Deathly Hallows: Part 1,2010,946080434,,
Harry Potter and the Order of the Phoenix,2007,937000866,,
Harry Potter and the Half-Blood Prince,2009,933956980,,
Star Wars: Episode I - The Phantom Menace,1999,922379000,,
The Lord of the Rings: The Two Towers,2002,921600000,,
Jurassic Park,1993,919700000,,
Harry Potter and the Goblet of Fire,2005,892194397,,
Ice Age: Dawn of the Dinosaurs,2009,887773705,,
Spider-Man 3,2007,885430303,,
Shrek 2,2004,880871036,,
Harry Potter and the Chamber of Secrets,2002,866300000,,
Finding Nemo,2003,865000000,,
The Lord of the Rings: The Fellowship of the Ring,2001,860700000,,
Star Wars: Episode III - Revenge of the Sith,2005,848462555,,
Transformers: Revenge of the Fallen,2009,836276689,,
Inception,2010,817068851,,
Independence Day,1996,811200000,,
Spider-Man,2002,806700000,,
Star Wars: Episode IV - A New Hope,1977,797900000,,
Harry Potter and the Prisoner of Azkaban,2004,795458727,,
Shrek the Third,2007,791106665,,
Spider-Man 2,2004,783577893,,
The Lion King,1994,783400000,,
Indiana Jones and the Kingdom of the Crystal Skull,2008,783011114,,
The Da Vinci Code,2006,758236138,,
E.T.: The Extra-Terrestrial,1982,756700000,,
Shrek Forever After,2010,750271987,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,738809845,,
The Matrix Reloaded,2003,735600000,,
Up,2009,727079556,,
New Moon,2009,709823132,,
Transformers,2007,708559914,,
The Twilight Saga: Eclipse,2010,694523113,,
Forrest Gump,1994,679400000,,
Kung Fu Panda 2,2011,663005740,,
The Twilight Saga: Breaking Dawn - Part 1,2011,661636135,,
The Sixth Sense,1999,661500000,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,653200000,,
Star Wars: Episode II - Attack of the Clones,2002,648200000,,
Kung Fu Panda,2008,633395021,,
Fast Five,2011,624305005,,
The Incredibles,2004,624037578,,
Ice Age: The Meltdown,2006,623829763,,
Iron Man 2,2010,623557433,,
Hancock,2008,623546274,,
Ratatouille,2007,615935493,,
The Lost World: Jurassic Park,1997,614300000,,
The Passion of the Christ,2004,604370943,,
Mamma Mia!,2008,601204210,,
Madagascar: Escape 2 Africa,2008,594082968,,
War of the Worlds,2005,591377056,,
Casino Royale,2006,587607184,,
Men in Black,1997,587200000,,
I Am Legend,2007,583986216,,
Mission: Impossible - Ghost Protocol,2011,580165203,,
Tangled,2010,577707262,,
Star Wars: Episode VI - Return of the Jedi,1983,572700000,,
Iron Man,2008,571827600,,
Night at the Museum,2006,571063268,,
Quantum of Solace,2008,569968427,,
The Hangover Part II,2011,564855986,,
The Smurfs,2011,559114158,,
Armageddon,1998,554600000,,
Cars 2,2011,549450875,,
King Kong,2005,547051260,,
Mission: Impossible II,2000,545300000,,
Despicable Me,2010,543501645,,
Home Alone,1990,533800000,,
Star Wars: Episode V - The Empire Strikes Back,1980,533800000,,
WALLE,2008,532506889,,
"Monsters, Inc.",2001,528900000,,
The Day After Tomorrow,2004,527939919,,
The Simpsons Movie,2007,525532370,,
Sherlock Holmes,2009,518419489,,
Ghost,1990,517600000,,
Terminator 2: Judgment Day,1991,516800000,,
Puss in Boots,2011,507839808,,
Aladdin,1992,501900000,,
How to Train Your Dragon,2010,494887997,,
Indiana Jones and the Last Crusade,1989,494800000,,
Twister,1996,494700000,,
Clash of the Titans,2010,491592114,,
Rio,2011,486118384,,
Angels & Demons,2009,485975846,,
Toy Story 2,1999,485700000,,
Rise of the Planet of the Apes,2011,482640650,,
Troy,2004,481228348,,
