Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Fernando Torres,Centre-Forward,26,Liverpool,Premier League,Chelsea,Premier League,2010-2011,50000000,58500000
Andy Carroll,Centre-Forward,22,Newcastle,Premier League,Liverpool,Premier League,2010-2011,2500000,41000000
David Villa,Centre-Forward,28,Valencia CF,LaLiga,FC Barcelona,LaLiga,2010-2011,45000000,40000000
Edin Dzeko,Centre-Forward,24,VfL Wolfsburg,1.Bundesliga,Man City,Premier League,2010-2011,30000000,37000000
Ángel Di María,Right Winger,22,Benfica,Liga NOS,Real Madrid,LaLiga,2010-2011,9500000,33000000
Yaya Touré,Central Midfield,27,FC Barcelona,LaLiga,Man City,Premier League,2010-2011,18000000,30000000
Mario Balotelli,Centre-Forward,20,Inter,Serie A,Man City,Premier League,2010-2011,26000000,29500000
David Silva,Attacking Midfield,24,Valencia CF,LaLiga,Man City,Premier League,2010-2011,32000000,28750000
Luis Suárez,Centre-Forward,24,AFC Ajax,Eredivisie,Liverpool,Premier League,2010-2011,25000000,26500000
David Luiz,Centre-Back,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,14000000,25000000
Aleksandar Kolarov,Left-Back,24,Lazio,Serie A,Man City,Premier League,2010-2011,9000000,23860000
Yoann Gourcuff,Attacking Midfield,24,G. Bordeaux,Ligue 1,Olympique Lyon,Ligue 1,2010-2011,22500000,22000000
James Milner,Central Midfield,24,Aston Villa,Premier League,Man City,Premier League,2010-2011,20000000,22000000
Bruno Alves,Centre-Back,28,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,2010-2011,18000000,22000000
Ramires,Central Midfield,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,14000000,22000000
Darren Bent,Centre-Forward,26,Sunderland,Premier League,Aston Villa,Premier League,2010-2011,18000000,21500000
Javier Mascherano,Defensive Midfield,26,Liverpool,Premier League,FC Barcelona,LaLiga,2010-2011,26000000,20000000
Carlos Eduardo,Attacking Midfield,23,TSG Hoffenheim,1.Bundesliga,Rubin Kazan,Premier Liga,2010-2011,14500000,20000000
Andrea Ranocchia,Centre-Back,22,Genoa,Serie A,Inter,Serie A,2010-2011,10000000,18500000
Mesut Özil,Attacking Midfield,21,Werder Bremen,1.Bundesliga,Real Madrid,LaLiga,2010-2011,27000000,18000000
Giampaolo Pazzini,Centre-Forward,26,Sampdoria,Serie A,Inter,Serie A,2010-2011,19000000,18000000
Robinho,Left Winger,26,Man City,Premier League,AC Milan,Serie A,2010-2011,15000000,18000000
Luiz Gustavo,Defensive Midfield,23,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2010-2011,6500000,17000000
André-Pierre Gignac,Centre-Forward,24,Toulouse,Ligue 1,Marseille,Ligue 1,2010-2011,14500000,16000000
Asamoah Gyan,Centre-Forward,24,Stade Rennais,Ligue 1,Sunderland,Premier League,2010-2011,11000000,16000000
Diego,Attacking Midfield,25,Juventus,Serie A,VfL Wolfsburg,1.Bundesliga,2010-2011,24000000,15500000
Loïc Rémy,Centre-Forward,23,OGC Nice,Ligue 1,Marseille,Ligue 1,2010-2011,12000000,15500000
Leonardo Bonucci,Centre-Back,23,Bari,Serie A,Juventus,Serie A,2010-2011,8000000,15500000
Milos Krasic,Central Midfield,25,CSKA Moscow,Premier Liga,Juventus,Serie A,2010-2011,15000000,15000000
Dmytro Chygrynskiy,Centre-Back,23,FC Barcelona,LaLiga,Shakhtar D.,Premier Liga,2010-2011,8000000,15000000
Sami Khedira,Central Midfield,23,VfB Stuttgart,1.Bundesliga,Real Madrid,LaLiga,2010-2011,18000000,14000000
Klaas-Jan Huntelaar,Centre-Forward,27,AC Milan,Serie A,FC Schalke 04,1.Bundesliga,2010-2011,13000000,14000000
Hernanes,Attacking Midfield,25,São Paulo,Série A,Lazio,Serie A,2010-2011,9000000,13500000
Raúl Meireles,Central Midfield,27,FC Porto,Liga NOS,Liverpool,Premier League,2010-2011,11000000,13000000
Jérôme Boateng,Centre-Back,21,Hamburger SV,1.Bundesliga,Man City,Premier League,2010-2011,15000000,12500000
Laurent Koscielny,Centre-Back,24,FC Lorient,Ligue 1,Arsenal,Premier League,2010-2011,5000000,12500000
Simon Kjær,Centre-Back,21,US Palermo,Serie A,VfL Wolfsburg,1.Bundesliga,2010-2011,12000000,12000000
Aleksandr Bukharov,Centre-Forward,25,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2010-2011,10000000,12000000
