Entity,Code,Year,AFF value added (% of GDP),GDP per capita,Population,Continent
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,2002,38.62789,1280.4631,21000258,Asia
Afghanistan,AFG,2003,37.418854,1292.3335,22645136,Asia
Afghanistan,AFG,2004,29.721067,1260.0605,23553554,Asia
Afghanistan,AFG,2005,31.114855,1352.3207,24411196,Asia
Afghanistan,AFG,2006,28.63597,1366.9932,25442946,
Afghanistan,AFG,2007,30.105011,1528.3446,25903306,
Afghanistan,AFG,2008,24.89227,1556.8445,26427204,
Afghanistan,AFG,2009,29.2975,1823.7426,27385310,
Afghanistan,AFG,2010,26.210068,2026.1638,28189672,
Afghanistan,AFG,2011,23.743664,1961.0963,29249156,
Afghanistan,AFG,2012,24.390873,2122.8308,30466484,
Afghanistan,AFG,2013,22.810663,2165.3408,31541216,
Afghanistan,AFG,2014,22.137041,2144.4497,32716214,
Afghanistan,AFG,2015,20.634323,2108.714,33753500,Asia
Afghanistan,AFG,2016,25.740314,2101.422,34636212,
Afghanistan,AFG,2017,26.420198,2096.093,35643420,
Afghanistan,AFG,2018,22.042896,2060.699,36686788,
Afghanistan,AFG,2019,25.773972,2079.9219,37769496,
Afghanistan,AFG,2020,26.8206,1968.341,38972236,
Afghanistan,AFG,2021,33.4845,1516.3057,40099460,
Aland Islands,ALA,2015,,,,Europe
Albania,ALB,1996,36.410862,4909.825,3271336,
Albania,ALB,1997,31.543444,4401.113,3253721,
Albania,ALB,1998,28.78565,4819.9443,3232185,
Albania,ALB,1999,25.918745,5475.845,3208265,
Albania,ALB,2000,24.515411,5893.654,3182027,
Albania,ALB,2001,22.716164,6442.612,3153615,
Albania,ALB,2002,22.025114,6755.1094,3123554,
Albania,ALB,2003,21.978256,7155.2964,3092993,
Albania,ALB,2004,20.537487,7581.5063,3062629,
Albania,ALB,2005,18.845308,8041.5435,3032636,
Albania,ALB,2006,17.708353,8570.107,3003391,
Albania,ALB,2007,17.15362,9151.78,2976089,
Albania,ALB,2008,16.837053,9913.951,2951690,
Albania,ALB,2009,16.794384,10315.777,2930553,
Albania,ALB,2010,17.955866,10751.421,2913402,
Albania,ALB,2011,18.22679,11054.788,2900660,
Albania,ALB,2012,18.766802,11229.992,2892191,
Albania,ALB,2013,19.565157,11363.318,2887019,
Albania,ALB,2014,19.990181,11588.925,2884100,
Albania,ALB,2015,19.780214,11880.598,2882482,Europe
Albania,ALB,2016,19.849995,12294.077,2881064,
Albania,ALB,2017,19.022148,12773.269,2879361,
Albania,ALB,2018,18.42948,13319.495,2877019,
Albania,ALB,2019,18.389347,13655.665,2873883,
Albania,ALB,2020,19.26444,13256.125,2866850,
Albania,ALB,2021,17.664059,14518.906,2854710,
Albania,ALB,1990,,4827.9053,3295073,
Albania,ALB,1991,,3497.0054,3302087,
Albania,ALB,1992,,3265.4143,3303738,
Albania,ALB,1993,,3599.4646,3300715,
Albania,ALB,1994,,3922.3281,3294001,
Albania,ALB,1995,,4472.415,3284370,
Algeria,DZA,1999,11.10698,8584.071,30346086,
Algeria,DZA,2000,8.395048,8786.19,30774624,
Algeria,DZA,2001,9.74942,8926.11,31200984,
Algeria,DZA,2002,9.224982,9299.683,31624700,
Algeria,DZA,2003,9.810558,9835.162,32055882,
Algeria,DZA,2004,9.440477,10114.726,32510184,
Algeria,DZA,2005,7.6913147,10566.373,32956690,
Algeria,DZA,2006,7.5430775,10592.247,33435082,
Algeria,DZA,2007,7.570626,10775.532,33983836,
Algeria,DZA,2008,6.586676,10847.177,34569592,
Algeria,DZA,2009,9.343366,10824.576,35196040,
Algeria,DZA,2010,8.466444,11007.747,35856348,
Algeria,DZA,2011,8.11059,11113.969,36543548,
Algeria,DZA,2012,8.770686,11270.701,37260568,
Algeria,DZA,2013,9.851117,11360.638,38000628,
Algeria,DZA,2014,10.286397,11561.26,38760168,
Algeria,DZA,2015,11.578708,11751.634,39543148,Africa
Algeria,DZA,2016,12.220095,11888.323,40339328,
Algeria,DZA,2017,11.755903,11809.483,41136548,
Algeria,DZA,2018,11.874201,11725.878,41927008,
Algeria,DZA,2019,12.336212,11627.28,42705372,
Algeria,DZA,2020,14.134792,10844.7705,43451668,
Algeria,DZA,2021,13.030902,11039.806,44177964,
Algeria,DZA,1990,,8828.874,25518074,
Algeria,DZA,1991,,8517.377,26133906,
Algeria,DZA,1992,,8471.527,26748302,
Algeria,DZA,1993,,8109.884,27354326,
Algeria,DZA,1994,,7869.2705,27937006,
Algeria,DZA,1995,,8013.1235,28478024,
Algeria,DZA,1996,,8195.86,28984640,
Algeria,DZA,1997,,8147.8784,29476030,
Algeria,DZA,1998,,8435.036,29924664,
American Samoa,ASM,1950,,,19057,
American Samoa,ASM,1951,,,19447,
American Samoa,ASM,1952,,,19587,
American Samoa,ASM,1953,,,19695,
American Samoa,ASM,1954,,,19783,
American Samoa,ASM,1955,,,19855,
American Samoa,ASM,1956,,,19922,
American Samoa,ASM,1957,,,19965,
American Samoa,ASM,1958,,,19942,
American Samoa,ASM,1959,,,19904,
American Samoa,ASM,1960,,,20107,
American Samoa,ASM,1961,,,20653,
American Samoa,ASM,1962,,,21290,
American Samoa,ASM,1963,,,21969,
American Samoa,ASM,1964,,,22682,
American Samoa,ASM,1965,,,23414,
American Samoa,ASM,1966,,,24147,
American Samoa,ASM,1967,,,24864,
American Samoa,ASM,1968,,,25631,
American Samoa,ASM,1969,,,26417,
American Samoa,ASM,1970,,,27098,
American Samoa,ASM,1971,,,27618,
American Samoa,ASM,1972,,,28083,
American Samoa,ASM,1973,,,28553,
American Samoa,ASM,1974,,,29040,
American Samoa,ASM,1975,,,29596,
American Samoa,ASM,1976,,,30222,
American Samoa,ASM,1977,,,30838,
American Samoa,ASM,1978,,,31449,
American Samoa,ASM,1979,,,32071,
American Samoa,ASM,1980,,,32908,
American Samoa,ASM,1981,,,34080,
American Samoa,ASM,1982,,,35388,
American Samoa,ASM,1983,,,36755,
American Samoa,ASM,1984,,,38193,
American Samoa,ASM,1985,,,39688,
American Samoa,ASM,1986,,,41240,
American Samoa,ASM,1987,,,42859,
American Samoa,ASM,1988,,,44564,
American Samoa,ASM,1989,,,46310,
American Samoa,ASM,1990,,,47841,
American Samoa,ASM,1991,,,49016,
American Samoa,ASM,1992,,,50096,
American Samoa,ASM,1993,,,51195,
American Samoa,ASM,1994,,,52311,
American Samoa,ASM,1995,,,53421,
American Samoa,ASM,1996,,,54523,
American Samoa,ASM,1997,,,55595,
American Samoa,ASM,1998,,,56626,
American Samoa,ASM,1999,,,57617,
American Samoa,ASM,2000,,,58251,
American Samoa,ASM,2001,,,58342,
American Samoa,ASM,2002,,,58200,
American Samoa,ASM,2003,,,57962,
American Samoa,ASM,2004,,,57653,
American Samoa,ASM,2005,,,57277,
American Samoa,ASM,2006,,,56857,
American Samoa,ASM,2007,,,56402,
American Samoa,ASM,2008,,,55909,
American Samoa,ASM,2009,,,55386,
American Samoa,ASM,2010,,,54871,
American Samoa,ASM,2011,,,54334,
American Samoa,ASM,2012,,,53718,
American Samoa,ASM,2013,,,53017,
American Samoa,ASM,2014,,,52234,
American Samoa,ASM,2015,,,51391,Oceania
American Samoa,ASM,2016,,,50468,
American Samoa,ASM,2017,,,49486,
American Samoa,ASM,2018,,,48445,
American Samoa,ASM,2019,,,47341,
American Samoa,ASM,2020,,,46216,
American Samoa,ASM,2021,,,45056,
